// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44804
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
43510		-18.712258	14.958549	-47.667630
43511		-18.732160	14.939916	-47.690126
43512		-18.722433	14.916142	-47.711943
43513		-18.709872	14.902698	-47.725034
43514		-18.716492	14.896804	-47.732598
43515		-18.718160	14.889726	-47.734288
43516		-18.702720	14.871781	-47.732542
43517		-18.674692	14.862710	-47.723491
43518		-18.660137	14.874708	-47.706831
43519		-18.656866	14.903767	-47.685539
43520		-18.641355	14.933094	-47.678520
43521		-18.641473	14.938834	-47.705739
43522		-18.663972	14.932871	-47.750707
43523		-18.700921	14.914194	-47.773292
43524		-18.729482	14.896665	-47.763874
43525		-18.737815	14.880045	-47.727867
43526		-18.737641	14.860474	-47.679905
43527		-18.730402	14.839018	-47.632184
43528		-18.706848	14.804919	-47.585426
43529		-18.641773	14.720513	-47.539054
43530		-18.580010	14.590522	-47.490510
43531		-18.630241	14.447199	-47.458577
43532		-18.744063	14.298645	-47.452090
43533		-18.820986	14.129700	-47.450806
43534		-18.784911	13.952556	-47.439286
43535		-18.851531	13.836820	-47.415346
43536		-18.998806	13.789794	-47.379445
43537		-19.094682	13.787787	-47.337293
43538		-19.075562	13.799340	-47.336638
43539		-19.012809	13.826346	-47.377568
43540		-18.984613	13.842274	-47.454195
43541		-19.002082	13.825431	-47.543212
43542		-18.997316	13.772327	-47.603828
43543		-18.956823	13.695607	-47.638945
43544		-19.030686	13.600181	-47.654549
43545		-19.093848	13.433309	-47.627170
43546		-19.074309	13.222856	-47.569367
43547		-19.101969	13.015301	-47.474731
43548		-19.241239	12.849685	-47.348541
43549		-19.587507	12.642876	-47.203996
43550		-19.890769	12.370519	-47.118111
43551		-19.964376	12.045781	-46.997538
43552		-19.775001	11.636554	-46.885625
43553		-19.925319	11.129009	-46.853596
43554		-20.050468	10.553372	-46.757981
43555		-19.910354	9.833232	-46.607904
43556		-19.410624	9.148394	-46.363262
43557		-19.040683	8.465159	-46.098742
43558		-18.969380	7.723501	-45.779515
43559		-18.938163	6.983044	-45.425770
43560		-19.361650	6.242721	-45.108896
43561		-19.983745	5.564855	-44.834151
43562		-20.124537	5.146350	-44.604263
43563		-20.246293	4.891781	-44.498957
43564		-19.890992	4.576882	-44.398171
43565		-18.904406	3.879534	-44.383740
43566		-18.451880	2.907245	-44.393421
43567		-17.914243	2.058575	-44.381138
43568		-17.319730	1.401952	-44.404926
43569		-16.982791	0.872089	-44.620709
43570		-16.805838	0.327547	-45.006902
43571		-16.329912	-0.188779	-45.406834
43572		-16.084522	-0.582161	-45.803872
43573		-16.031040	-0.953135	-46.172734
43574		-16.003646	-1.350709	-46.547250
43575		-15.796091	-1.696810	-47.018643
43576		-15.934742	-2.023566	-47.540675
43577		-15.823736	-2.375607	-47.914853
43578		-15.685930	-2.712632	-48.216646
43579		-15.656584	-2.950961	-48.594586
43580		-15.765984	-3.035726	-49.124132
43581		-16.029383	-3.133228	-49.732191
43582		-15.975312	-3.231555	-50.115976
43583		-15.631889	-3.314789	-50.318728
43584		-15.350050	-3.391968	-50.496446
43585		-15.257391	-3.415582	-50.790784
43586		-15.187587	-3.433233	-51.226036
43587		-15.344056	-3.511359	-51.672574
43588		-15.336621	-3.609754	-51.978552
43589		-15.228450	-3.680984	-52.211996
43590		-15.151298	-3.696396	-52.468528
43591		-15.243588	-3.680622	-52.744857
43592		-15.036474	-3.690808	-52.938187
43593		-14.765559	-3.650559	-53.046520
43594		-14.489291	-3.535120	-53.113016
43595		-14.200767	-3.392777	-53.166596
43596		-13.945218	-3.229503	-53.200392
