// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44846
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
52272		-4.982856	-16.043767	-34.404474
52273		-4.972807	-16.050863	-34.404054
52274		-4.937167	-15.984083	-34.396298
52275		-4.904754	-15.874554	-34.418064
52276		-4.884432	-15.745052	-34.441298
52277		-4.917083	-15.628269	-34.454701
52278		-4.919345	-15.539664	-34.476959
52279		-4.900925	-15.459970	-34.509961
52280		-4.885121	-15.421165	-34.557866
52281		-4.640812	-15.291589	-34.544951
52282		-4.441468	-15.074232	-34.524472
52283		-4.422021	-14.792608	-34.560418
52284		-4.488604	-14.585030	-34.566355
52285		-4.460172	-14.518508	-34.485461
52286		-4.308345	-14.506929	-34.373707
52287		-4.229931	-14.447647	-34.312564
52288		-4.104404	-14.258277	-34.271464
52289		-4.020761	-13.997684	-34.218616
52290		-3.989384	-13.817550	-34.150750
52291		-3.890057	-13.679627	-34.060379
52292		-3.817962	-13.554285	-33.975734
52293		-3.770268	-13.436779	-33.853499
52294		-3.629572	-13.301672	-33.681334
52295		-3.485822	-13.157951	-33.504406
52296		-3.361670	-12.956969	-33.287454
52297		-3.125577	-12.686014	-33.063370
52298		-2.882957	-12.445528	-32.867662
52299		-2.583880	-12.214736	-32.712157
52300		-2.358460	-11.981398	-32.616165
52301		-2.262095	-11.746559	-32.561044
52302		-2.195952	-11.478863	-32.448019
52303		-2.026795	-11.205629	-32.313913
52304		-1.905692	-10.992563	-32.130484
52305		-1.912050	-10.820582	-31.818226
52306		-2.043959	-10.719609	-31.359945
52307		-2.118320	-10.802969	-30.735696
52308		-1.927248	-10.941240	-29.994998
52309		-1.801353	-11.118215	-29.270312
52310		-1.901007	-11.284650	-28.529877
52311		-2.015431	-11.356251	-27.785447
52312		-2.131541	-11.464699	-27.010145
52313		-2.523228	-11.635189	-26.144068
52314		-2.742024	-11.747409	-25.205187
52315		-2.837826	-11.860683	-24.244029
52316		-2.772602	-11.936895	-23.350452
52317		-2.480488	-12.015748	-22.589041
52318		-2.462715	-12.209979	-21.803524
52319		-2.768134	-12.479186	-20.941759
52320		-2.785740	-12.722092	-20.095619
52321		-2.739741	-12.900527	-19.332501
52322		-2.641191	-13.009321	-18.730428
52323		-2.524857	-13.122766	-18.255795
52324		-2.482283	-13.336826	-17.807211
52325		-2.446515	-13.605263	-17.372824
52326		-2.420694	-13.922145	-16.998195
52327		-2.375685	-14.241487	-16.698438
52328		-2.367110	-14.514645	-16.492743
52329		-2.391780	-14.743912	-16.430497
52330		-2.371242	-14.878315	-16.513850
52331		-2.304640	-14.883387	-16.707957
52332		-2.214168	-14.860540	-16.949459
52333		-2.217362	-14.745910	-17.198831
52334		-2.290678	-14.618577	-17.375030
52335		-2.312926	-14.553718	-17.509841
52336		-2.342289	-14.490883	-17.626689
52337		-2.406615	-14.427172	-17.711339
52338		-2.459442	-14.365840	-17.729332
52339		-2.506482	-14.370155	-17.694657
52340		-2.566203	-14.502283	-17.628923
52341		-2.591442	-14.514381	-17.550578
52342		-2.686041	-14.510868	-17.460662
52343		-2.785508	-14.489958	-17.355061
52344		-2.801630	-14.434796	-17.255084
52345		-2.774092	-14.392052	-17.176195
52346		-2.783486	-14.380869	-17.134449
52347		-2.823435	-14.390315	-17.120139
52348		-2.845550	-14.426593	-17.116670
52349		-2.885761	-14.484827	-17.121050
52350		-2.939605	-14.500429	-17.121227
52351		-3.000346	-14.488772	-17.113897
52352		-3.069788	-14.472760	-17.116835
52353		-3.137933	-14.459134	-17.118091
52354		-3.179005	-14.439873	-17.108000
52355		-3.213158	-14.431071	-17.070439
52356		-3.226985	-14.422119	-17.039429
52357		-3.202949	-14.425354	-17.011061
52358		-3.190868	-14.444509	-16.981549
52359		-3.212434	-14.460654	-16.961868
52360		-3.256370	-14.496157	-16.924963
52361		-3.255866	-14.540907	-16.884770
52362		-3.237391	-14.575336	-16.860016
52363		-3.204319	-14.582035	-16.833106
52364		-3.141251	-14.548458	-16.807460
52365		-3.086003	-14.506558	-16.801476
52366		-3.078682	-14.477000	-16.813929
52367		-3.100956	-14.458176	-16.826221
52368		-3.132236	-14.431996	-16.830005
52369		-3.158577	-14.409213	-16.841514
52370		-3.179071	-14.388397	-16.850613
52371		-3.197723	-14.376385	-16.831038
