// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4486D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
17214		-27.922790	-57.628653	160.257391
17215		-27.919298	-57.626263	160.259566
17216		-27.916288	-57.623418	160.259645
17217		-27.915391	-57.617011	160.264516
17218		-27.909610	-57.608894	160.262026
17219		-27.904450	-57.599650	160.256086
17220		-27.900063	-57.590486	160.254984
17221		-27.897038	-57.588112	160.247400
17222		-27.901371	-57.584449	160.252748
17223		-27.906635	-57.576995	160.252911
17224		-27.918305	-57.575118	160.261537
17225		-27.928610	-57.571929	160.259248
17226		-27.941577	-57.571386	160.264299
17227		-27.955561	-57.570641	160.274998
17228		-27.965363	-57.572988	160.274964
17229		-27.976055	-57.575584	160.278907
17230		-27.975048	-57.577452	160.273130
17231		-27.976126	-57.576138	160.276434
17232		-27.976903	-57.573551	160.276358
17233		-27.980455	-57.569746	160.283410
17234		-27.985900	-57.563898	160.287018
17235		-27.993204	-57.559120	160.292291
17236		-27.998647	-57.553271	160.295895
17237		-28.009400	-57.548353	160.301761
17238		-28.016445	-57.542812	160.301154
17239		-28.029237	-57.536854	160.301631
17240		-28.045609	-57.530001	160.304395
17241		-28.067372	-57.516229	160.312354
17242		-28.095514	-57.499169	160.327826
17243		-28.131502	-57.483169	160.353019
17244		-28.167406	-57.467299	160.376991
17245		-28.196599	-57.454264	160.400580
17246		-28.216746	-57.444812	160.413808
17247		-28.234163	-57.430435	160.434115
17248		-28.249866	-57.410868	160.438446
17249		-28.280478	-57.383061	160.441406
17250		-28.323199	-57.344013	160.444671
17251		-28.379535	-57.300618	160.461559
17252		-28.435018	-57.261487	160.480121
17253		-28.488813	-57.227577	160.508615
17254		-28.525815	-57.193879	160.533046
17255		-28.553527	-57.158810	160.551766
17256		-28.570290	-57.127926	160.556367
17257		-28.583030	-57.094198	160.554370
17258		-28.588912	-57.060043	160.540708
17259		-28.594011	-57.023578	160.530051
17260		-28.615801	-56.967857	160.512129
17261		-28.675647	-56.885593	160.495054
17262		-28.769316	-56.779781	160.492273
17263		-28.871194	-56.655198	160.478087
17264		-28.978777	-56.520850	160.474646
17265		-29.047467	-56.392753	160.447670
17266		-29.061226	-56.289801	160.401157
17267		-29.029302	-56.206486	160.322587
17268		-28.974155	-56.127017	160.233517
17269		-28.938584	-56.021010	160.144803
17270		-28.921923	-55.888911	160.025258
17271		-28.916720	-55.753281	159.916093
17272		-28.894827	-55.648213	159.823675
17273		-28.852386	-55.560892	159.728757
17274		-28.797857	-55.482472	159.669009
17275		-28.738957	-55.397221	159.606999
17276		-28.682917	-55.304370	159.561468
17277		-28.616212	-55.198359	159.510981
17278		-28.523249	-55.074666	159.441494
17279		-28.416203	-54.941057	159.351043
17280		-28.306880	-54.811870	159.260745
17281		-28.197074	-54.692826	159.162664
17282		-28.096396	-54.584578	159.076558
17283		-28.014603	-54.474002	159.000847
17284		-27.958937	-54.375355	158.945780
17285		-27.917800	-54.287189	158.901530
17286		-27.882238	-54.204548	158.880422
17287		-27.822264	-54.113443	158.854388
17288		-27.753239	-54.002935	158.809702
17289		-27.683728	-53.874810	158.763035
17290		-27.625877	-53.750563	158.733216
17291		-27.564178	-53.630511	158.710335
17292		-27.483248	-53.522915	158.689986
17293		-27.376785	-53.415196	158.655570
17294		-27.266996	-53.309765	158.604130
17295		-27.177862	-53.209390	158.551416
17296		-27.114729	-53.112942	158.513141
17297		-27.074790	-53.022210	158.489722
17298		-27.048319	-52.939739	158.481163
17299		-27.014218	-52.862235	158.457539
17300		-26.964786	-52.779353	158.443177
17301		-26.893362	-52.675205	158.391069
17302		-26.801129	-52.532180	158.318816
17303		-26.718675	-52.335875	158.213058
17304		-26.673122	-52.087986	158.117316
17305		-26.652556	-51.799092	158.022886
17306		-26.638107	-51.492945	157.953083
17307		-26.619796	-51.184299	157.911352
17308		-26.582769	-50.867447	157.874738
17309		-26.503909	-50.534874	157.819110
17310		-26.399824	-50.191717	157.766717
17311		-26.274295	-49.844925	157.709609
17312		-26.158816	-49.503725	157.687955
17313		-26.056892	-49.166810	157.706157
17314		-25.948068	-48.844334	157.759748
17315		-25.782752	-48.518140	157.814865
17316		-25.511361	-48.168554	157.838459
17317		-25.142656	-47.789925	157.814829
17318		-24.723696	-47.399646	157.788612
17319		-24.283674	-47.007663	157.760795
17320		-23.876386	-46.619224	157.786645
17321		-23.512097	-46.227812	157.846185
17322		-23.172482	-45.836275	157.943112
17323		-22.839208	-45.442980	158.060496
17324		-22.504189	-45.051904	158.185034
17325		-22.170208	-44.659029	158.297105
17326		-21.840872	-44.278360	158.414835
17327		-21.539512	-43.919714	158.538799
17328		-21.268142	-43.578830	158.672943
17329		-21.045869	-43.243681	158.815725
17330		-20.872925	-42.922086	158.974831
17331		-20.759676	-42.614103	159.151984
17332		-20.693818	-42.314508	159.348220
17333		-20.676995	-42.018236	159.558922
17334		-20.701792	-41.730353	159.791879
17335		-20.749906	-41.452685	160.040940
17336		-20.815024	-41.188595	160.307135
17337		-20.896860	-40.924449	160.583949
17338		-20.984322	-40.661592	160.872787
17339		-21.091217	-40.402805	161.183783
17340		-21.209277	-40.155692	161.518104
17341		-21.343334	-39.922342	161.884124
17342		-21.486084	-39.705755	162.276023
17343		-21.604261	-39.502312	162.679275
17344		-21.672733	-39.292346	163.072852
17345		-21.711455	-39.072723	163.455035
17346		-21.720554	-38.854779	163.822229
17347		-21.699945	-38.652625	164.186014
17348		-21.647250	-38.475132	164.541384
17349		-21.545508	-38.314836	164.881609
17350		-21.405777	-38.159599	165.203779
17351		-21.245453	-37.999033	165.515542
17352		-21.082505	-37.822886	165.820664
17353		-20.929238	-37.626675	166.131931
17354		-20.797080	-37.412964	166.450614
17355		-20.702259	-37.179580	166.779432
17356		-20.627296	-36.951123	167.111256
17357		-20.547368	-36.743711	167.432798
17358		-20.452838	-36.551637	167.729979
17359		-20.359012	-36.347997	168.001034
17360		-20.294839	-36.131123	168.251096
17361		-20.264308	-35.912008	168.496578
17362		-20.241507	-35.693505	168.748197
17363		-20.231087	-35.455700	169.008836
17364		-20.241968	-35.195449	169.277158
17365		-20.264716	-34.926773	169.557810
17366		-20.305642	-34.664233	169.849410
17367		-20.367381	-34.404930	170.149725
17368		-20.447620	-34.144774	170.447415
17369		-20.529971	-33.891920	170.732782
17370		-20.611071	-33.659875	170.990169
17371		-20.705738	-33.457102	171.230630
17372		-20.806742	-33.286415	171.453979
17373		-20.925664	-33.135680	171.675596
17374		-21.057903	-32.990871	171.904156
17375		-21.193918	-32.845018	172.138823
17376		-21.324201	-32.685684	172.372732
17377		-21.448065	-32.519042	172.593165
17378		-21.562445	-32.354733	172.794089
17379		-21.674234	-32.198773	172.975795
17380		-21.806918	-32.057585	173.144602
17381		-21.936376	-31.924736	173.328437
17382		-22.062611	-31.799737	173.529537
17383		-22.177459	-31.674646	173.735084
17384		-22.277248	-31.553797	173.933956
17385		-22.355101	-31.443728	174.110031
17386		-22.413204	-31.339147	174.259155
17387		-22.460358	-31.232630	174.388140
17388		-22.503702	-31.125753	174.504429
17389		-22.537684	-31.013767	174.622099
17390		-22.568187	-30.907691	174.743284
17391		-22.595733	-30.816749	174.868389
17392		-22.626062	-30.752913	174.987474
17393		-22.664650	-30.721126	175.096552
17394		-22.703581	-30.726474	175.185110
17395		-22.723707	-30.764985	175.250983
17396		-22.709919	-30.821654	175.296564
17397		-22.664449	-30.875490	175.313020
17398		-22.578489	-30.916768	175.301872
17399		-22.460428	-30.953267	175.272091
17400		-22.340869	-30.986537	175.246342
17401		-22.237950	-31.013756	175.227948
17402		-22.163085	-31.037242	175.211595
17403		-22.129517	-31.055496	175.189025
17404		-22.140747	-31.073941	175.160219
17405		-22.180021	-31.097935	175.128499
17406		-22.246685	-31.122631	175.100937
17407		-22.328639	-31.135458	175.076915
17408		-22.411408	-31.138277	175.055138
17409		-22.473864	-31.142616	175.020873
17410		-22.500525	-31.155855	174.980826
17411		-22.490316	-31.170909	174.937568
17412		-22.441531	-31.185188	174.894211
17413		-22.363990	-31.187728	174.852545
17414		-22.249624	-31.180579	174.806742
17415		-22.116766	-31.164159	174.766147
17416		-21.980181	-31.140822	174.727730
