// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
24680		22.363252	9.622144	2.887879
24681		22.354536	9.633084	2.891305
24682		22.347901	9.639663	2.886999
24683		22.356222	9.645042	2.883761
24684		22.338332	9.649962	2.878352
24685		22.315810	9.653999	2.877341
24686		22.321492	9.653514	2.878146
24687		22.331765	9.650605	2.883709
24688		22.338835	9.652430	2.884560
24689		22.327332	9.655910	2.883391
24690		22.313293	9.660619	2.881688
24691		22.320665	9.662389	2.878319
24692		22.332651	9.667992	2.874911
24693		22.328357	9.675941	2.868031
24694		22.334649	9.685845	2.862085
24695		22.365752	9.692651	2.856476
24696		22.371755	9.699309	2.853724
24697		22.339990	9.705299	2.851168
24698		22.312788	9.707923	2.851893
24699		22.290245	9.710474	2.855093
24700		22.269252	9.712129	2.856189
24701		22.241365	9.712125	2.857313
24702		22.223175	9.717067	2.856696
24703		22.241795	9.718781	2.855432
24704		22.243012	9.720208	2.849328
24705		22.231402	9.727474	2.841508
24706		22.232690	9.737294	2.832629
24707		22.257652	9.744230	2.822841
24708		22.259212	9.751457	2.811365
24709		22.243061	9.759276	2.800414
24710		22.240462	9.766740	2.790025
24711		22.239724	9.774965	2.784254
24712		22.214967	9.779958	2.777428
24713		22.174568	9.789888	2.767460
24714		22.156211	9.797281	2.763629
24715		22.154799	9.804740	2.762284
24716		22.148651	9.814021	2.757807
24717		22.132834	9.823445	2.750324
24718		22.102354	9.832099	2.742938
24719		22.073509	9.840649	2.734423
24720		22.063513	9.848168	2.726430
24721		22.072654	9.850546	2.719080
24722		22.076493	9.851892	2.708678
24723		22.070176	9.855157	2.698814
24724		22.057914	9.859417	2.688747
24725		22.041579	9.864731	2.685097
24726		22.042968	9.870874	2.683442
24727		22.058548	9.877134	2.688399
24728		22.058993	9.885021	2.688322
24729		22.058145	9.888664	2.684168
24730		22.042175	9.890031	2.675584
24731		22.017898	9.891334	2.666698
24732		22.004499	9.890064	2.655991
24733		21.992684	9.887977	2.646006
24734		21.980914	9.887760	2.634553
24735		21.976603	9.890411	2.626538
24736		21.994070	9.890752	2.614170
24737		22.019739	9.889563	2.605460
24738		22.059827	9.887367	2.590193
24739		22.108054	9.884148	2.569067
24740		22.156673	9.885892	2.543509
24741		22.224564	9.889639	2.515419
24742		22.299264	9.890918	2.479766
24743		22.360562	9.887385	2.437154
24744		22.382695	9.887907	2.383080
24745		22.387674	9.887875	2.325046
24746		22.389690	9.893921	2.264389
24747		22.372706	9.895313	2.204250
24748		22.357059	9.896539	2.141434
24749		22.346331	9.897912	2.077413
24750		22.353918	9.901971	2.009451
24751		22.363430	9.902653	1.934077
24752		22.380401	9.905012	1.853747
24753		22.419282	9.908332	1.771369
24754		22.440952	9.907250	1.683719
24755		22.487317	9.907861	1.594713
24756		22.561758	9.902928	1.502051
24757		22.616050	9.892447	1.404538
24758		22.657219	9.882194	1.303669
24759		22.710840	9.871496	1.196129
24760		22.799212	9.861699	1.081075
24761		22.910994	9.847831	0.943575
24762		22.931315	9.827943	0.784610
24763		22.871646	9.824758	0.613002
24764		22.827706	9.824442	0.430326
24765		22.812984	9.820673	0.245463
24766		22.829041	9.821385	0.056294
24767		22.896342	9.817356	-0.138076
24768		22.970225	9.813615	-0.341190
24769		23.020395	9.808460	-0.557589
24770		23.068439	9.802767	-0.780844
24771		23.088818	9.800843	-1.012290
24772		23.094895	9.806565	-1.251680
24773		23.115961	9.807731	-1.501012
24774		23.149241	9.808588	-1.759465
24775		23.180894	9.810253	-2.033940
24776		23.210968	9.808765	-2.318922
24777		23.253218	9.801669	-2.622921
24778		23.242173	9.789625	-2.940699
24779		23.160205	9.782113	-3.267311
24780		23.110939	9.773221	-3.598491
24781		23.072664	9.765159	-3.927680
