// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
24680		0.510653	0.705487	11.169692
24681		0.504970	0.733717	11.165610
24682		0.492599	0.746279	11.154207
24683		0.472553	0.752595	11.142875
24684		0.462496	0.743845	11.130550
24685		0.453236	0.719002	11.129459
24686		0.444594	0.683697	11.129091
24687		0.437472	0.660831	11.132431
24688		0.428934	0.649716	11.126821
24689		0.430745	0.645023	11.129594
24690		0.432448	0.649166	11.123924
24691		0.437447	0.670034	11.116746
24692		0.437463	0.706060	11.100234
24693		0.443260	0.743700	11.090006
24694		0.454975	0.777658	11.075583
24695		0.452097	0.797783	11.064064
24696		0.437533	0.804907	11.054146
24697		0.418364	0.810123	11.050056
24698		0.396474	0.808919	11.048040
24699		0.373974	0.805994	11.056457
24700		0.351489	0.803493	11.058660
24701		0.328905	0.797429	11.065009
24702		0.317470	0.794584	11.061242
24703		0.306788	0.796139	11.054382
24704		0.288177	0.803058	11.039659
24705		0.278076	0.820934	11.025143
24706		0.272212	0.837607	11.004327
24707		0.267207	0.855644	10.990948
24708		0.261298	0.863150	10.970795
24709		0.253456	0.865580	10.958141
24710		0.242049	0.865631	10.944489
24711		0.215292	0.870641	10.936758
24712		0.187669	0.876652	10.927324
24713		0.170045	0.885352	10.924986
24714		0.166224	0.885512	10.921796
24715		0.162327	0.876239	10.923790
24716		0.155757	0.872503	10.919298
24717		0.137971	0.868974	10.915833
24718		0.118661	0.868171	10.906115
24719		0.106985	0.867256	10.901524
24720		0.102058	0.859192	10.895577
24721		0.090735	0.847311	10.887444
24722		0.069278	0.841376	10.865973
24723		0.052969	0.844489	10.847595
24724		0.041023	0.852664	10.827427
24725		0.048350	0.867115	10.822453
24726		0.066118	0.880250	10.818996
24727		0.070522	0.884661	10.823338
24728		0.068216	0.882763	10.818831
24729		0.055165	0.881562	10.811987
24730		0.044854	0.878433	10.799302
24731		0.037123	0.869175	10.786256
24732		0.034128	0.856619	10.770619
24733		0.037232	0.846349	10.757366
24734		0.045174	0.842247	10.745622
24735		0.059524	0.837801	10.738304
24736		0.087140	0.824249	10.725132
24737		0.130518	0.799757	10.706746
24738		0.190374	0.770618	10.675432
24739		0.261086	0.739783	10.637019
24740		0.345361	0.714952	10.594317
24741		0.424327	0.697569	10.551106
24742		0.490964	0.687972	10.496459
24743		0.528812	0.689103	10.435822
24744		0.547515	0.690610	10.362565
24745		0.552502	0.697051	10.294222
