// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
20147		10.541226	1.760804	-17.748978
20148		10.444827	1.747086	-17.669313
20149		10.336405	1.736188	-17.609829
20150		10.229437	1.733305	-17.562034
20151		10.131583	1.729323	-17.522833
20152		10.060816	1.733147	-17.496021
20153		10.011225	1.740219	-17.475650
20154		9.979256	1.761209	-17.459897
20155		9.948141	1.787608	-17.451553
20156		9.909701	1.822799	-17.446044
20157		9.855965	1.857395	-17.445890
20158		9.783994	1.901668	-17.440959
20159		9.693277	1.943386	-17.437946
20160		9.586388	1.989088	-17.434699
20161		9.468973	2.034275	-17.425583
20162		9.362604	2.081179	-17.417464
20163		9.269858	2.125393	-17.409260
20164		9.201229	2.174214	-17.404856
20165		9.153283	2.213688	-17.404244
20166		9.116690	2.248277	-17.401122
20167		9.093348	2.284432	-17.398251
20168		9.079304	2.318958	-17.394836
20169		9.071820	2.349355	-17.390686
20170		9.081485	2.380473	-17.386192
20171		9.099009	2.403222	-17.374560
20172		9.130846	2.424221	-17.361238
20173		9.163015	2.436645	-17.342601
20174		9.190710	2.442658	-17.321125
20175		9.206029	2.444099	-17.292622
20176		9.219630	2.440875	-17.262555
20177		9.234094	2.430320	-17.228761
20178		9.260875	2.415479	-17.191172
20179		9.296632	2.393898	-17.144015
20180		9.333604	2.369851	-17.090973
20181		9.356319	2.338904	-17.028040
20182		9.369826	2.305234	-16.958882
20183		9.368162	2.259829	-16.882168
20184		9.352256	2.207020	-16.802230
20185		9.332115	2.144647	-16.720731
20186		9.312920	2.076009	-16.640478
20187		9.310995	2.000060	-16.558255
20188		9.329283	1.926724	-16.473712
20189		9.366476	1.854182	-16.388573
20190		9.405654	1.782541	-16.306074
20191		9.447537	1.706529	-16.230810
20192		9.478420	1.629500	-16.160858
20193		9.504929	1.548328	-16.102583
20194		9.513059	1.482983	-16.056675
20195		9.486811	1.434599	-16.029051
20196		9.419076	1.397433	-16.032563
20197		9.301933	1.361581	-16.052948
20198		9.157315	1.340388	-16.088239
20199		9.007302	1.315057	-16.131385
20200		8.877965	1.291473	-16.182558
20201		8.796140	1.261578	-16.232998
20202		8.783905	1.229740	-16.278537
20203		8.837821	1.192325	-16.311204
20204		8.944979	1.155379	-16.328691
20205		9.091106	1.111378	-16.342524
20206		9.253148	1.066642	-16.342522
20207		9.413954	1.024038	-16.329008
20208		9.557977	0.994835	-16.305942
20209		9.676643	0.959730	-16.279280
20210		9.770120	0.927288	-16.250388
20211		9.842095	0.897866	-16.216916
20212		9.894371	0.879339	-16.179044
20213		9.924007	0.865660	-16.139183
20214		9.928932	0.868841	-16.106113
20215		9.915754	0.880496	-16.077916
20216		9.884174	0.898937	-16.054977
20217		9.855511	0.914008	-16.033736
20218		9.868547	0.929951	-16.012815
20219		9.959208	0.945362	-15.989579
20220		10.132337	0.964665	-15.964001
20221		10.359877	0.995523	-15.940000
20222		10.620204	1.048408	-15.917663
20223		10.863321	1.115388	-15.899382
20224		11.063384	1.184983	-15.892846
20225		11.208920	1.247473	-15.889167
20226		11.309500	1.308269	-15.886451
20227		11.365489	1.366397	-15.878395
20228		11.379590	1.422559	-15.867259
20229		11.362608	1.472138	-15.853034
20230		11.342970	1.523167	-15.830510
20231		11.335865	1.563506	-15.805406
20232		11.351001	1.597658	-15.783792
20233		11.399575	1.623718	-15.755615
20234		11.483164	1.652157	-15.726478
20235		11.594656	1.671639	-15.701715
20236		11.716073	1.687187	-15.682480
20237		11.817256	1.702320	-15.658333
20238		11.890097	1.721335	-15.640425
20239		11.917019	1.738303	-15.628162
20240		11.905669	1.760943	-15.619949
20241		11.864940	1.780659	-15.617922
20242		11.807699	1.796705	-15.619722
20243		11.745859	1.810679	-15.618828
20244		11.696881	1.817405	-15.621295
20245		11.668565	1.813971	-15.629528
20246		11.658231	1.815993	-15.639194
20247		11.650152	1.809416	-15.649965
20248		11.639454	1.800590	-15.666621
20249		11.616624	1.786273	-15.684332
20250		11.585206	1.769029	-15.706023
20251		11.542646	1.748738	-15.731540
20252		11.504852	1.725007	-15.767604
20253		11.476227	1.698217	-15.808834
20254		11.460481	1.668512	-15.858896
20255		11.452916	1.636489	-15.909508
20256		11.461900	1.604095	-15.964401
20257		11.491087	1.569147	-16.023816
20258		11.531399	1.536126	-16.091852
20259		11.572884	1.504212	-16.163482
20260		11.608289	1.479642	-16.240212
20261		11.627882	1.458890	-16.315930
20262		11.636789	1.448321	-16.395300
20263		11.636029	1.430957	-16.479091
20264		11.644604	1.415212	-16.562611
20265		11.656097	1.400694	-16.647573
20266		11.663196	1.389630	-16.738855
20267		11.653322	1.375323	-16.834413
20268		11.613482	1.366119	-16.938152
20269		11.538729	1.346741	-17.052432
20270		11.446326	1.330338	-17.177969
20271		11.351237	1.312392	-17.310365
20272		11.254108	1.296731	-17.454815
20273		11.164105	1.277207	-17.609503
20274		11.077294	1.262125	-17.777367
20275		10.988785	1.248582	-17.953044
20276		10.895656	1.235411	-18.142770
20277		10.789293	1.213094	-18.342041
20278		10.669861	1.189856	-18.554204
20279		10.531085	1.165178	-18.773794
