// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44730
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
04661		19.777586	-2.004707	-61.491624
04662		19.753084	-1.990617	-61.445481
04663		19.741770	-1.977568	-61.399553
04664		19.753741	-1.964074	-61.352611
04665		19.777810	-1.951567	-61.309036
04666		19.803759	-1.941107	-61.265926
04667		19.830389	-1.926119	-61.230016
04668		19.862379	-1.906589	-61.196061
04669		19.892399	-1.884109	-61.168101
04670		19.911690	-1.859652	-61.142302
04671		19.924266	-1.839529	-61.115658
04672		19.925743	-1.822939	-61.085019
04673		19.915267	-1.814786	-61.057795
04674		19.894628	-1.803757	-61.027231
04675		19.878301	-1.796592	-60.997090
04676		19.868035	-1.789677	-60.966110
04677		19.865177	-1.783823	-60.934360
04678		19.865735	-1.781286	-60.903812
04679		19.865933	-1.787058	-60.878856
04680		19.860286	-1.791177	-60.857223
04681		19.864057	-1.790778	-60.841999
04682		19.867204	-1.793219	-60.826633
04683		19.865537	-1.799151	-60.813465
04684		19.861461	-1.799908	-60.799733
04685		19.851667	-1.809920	-60.787871
04686		19.832403	-1.824161	-60.776235
04687		19.815967	-1.838262	-60.764771
04688		19.805921	-1.843492	-60.754113
04689		19.799338	-1.857536	-60.743639
04690		19.790708	-1.873479	-60.740681
04691		19.776127	-1.892383	-60.736544
04692		19.752815	-1.911630	-60.737589
04693		19.721141	-1.930841	-60.740526
04694		19.686054	-1.941510	-60.745077
04695		19.659976	-1.950587	-60.753194
04696		19.649948	-1.948945	-60.759873
04697		19.648916	-1.954481	-60.762514
04698		19.646297	-1.966987	-60.764568
04699		19.636433	-1.990628	-60.770648
04700		19.622716	-2.008936	-60.778920
04701		19.610742	-2.029696	-60.791773
04702		19.593839	-2.048634	-60.804861
04703		19.572027	-2.064833	-60.818901
04704		19.540782	-2.080735	-60.836951
04705		19.512420	-2.099123	-60.854986
04706		19.492705	-2.115870	-60.871784
04707		19.487264	-2.133916	-60.883862
04708		19.475328	-2.158441	-60.894202
04709		19.459810	-2.189652	-60.906621
04710		19.448336	-2.218606	-60.923517
04711		19.436808	-2.244169	-60.944550
04712		19.425741	-2.264502	-60.964789
04713		19.429200	-2.286874	-60.985547
04714		19.434499	-2.303018	-61.004765
04715		19.433544	-2.325854	-61.024953
04716		19.433117	-2.349758	-61.052189
04717		19.439025	-2.378197	-61.084203
04718		19.442944	-2.410613	-61.118834
04719		19.448906	-2.445773	-61.153334
04720		19.457547	-2.478652	-61.188784
04721		19.469080	-2.512307	-61.227378
04722		19.486215	-2.542709	-61.271584
04723		19.504360	-2.577357	-61.322110
04724		19.519403	-2.618011	-61.374740
04725		19.532639	-2.665167	-61.430485
04726		19.531745	-2.713683	-61.487728
04727		19.525588	-2.767487	-61.550721
04728		19.529673	-2.821364	-61.614919
04729		19.544511	-2.871901	-61.674154
04730		19.563808	-2.924977	-61.735277
04731		19.579016	-2.983443	-61.798828
04732		19.587904	-3.045435	-61.866137
04733		19.594313	-3.107763	-61.936129
04734		19.599260	-3.164435	-62.009075
04735		19.612828	-3.220559	-62.084521
04736		19.629774	-3.270166	-62.164169
04737		19.656099	-3.313505	-62.249942
04738		19.695404	-3.360863	-62.337897
04739		19.739551	-3.409948	-62.428346
04740		19.773508	-3.461942	-62.521718
04741		19.800458	-3.519390	-62.619178
04742		19.822810	-3.577614	-62.720305
04743		19.840541	-3.636096	-62.825370
04744		19.864108	-3.691818	-62.936517
04745		19.893967	-3.745497	-63.049839
04746		19.932929	-3.798058	-63.171111
04747		19.968161	-3.856593	-63.299975
04748		20.001985	-3.921321	-63.439718
04749		20.037153	-3.984680	-63.585093
04750		20.069929	-4.047087	-63.737574
04751		20.104313	-4.120542	-63.900676
04752		20.130262	-4.201928	-64.077604
04753		20.153644	-4.290150	-64.268629
04754		20.176656	-4.377160	-64.468278
04755		20.198679	-4.467248	-64.675331
04756		20.206498	-4.559233	-64.891042
04757		20.214758	-4.656181	-65.120847
04758		20.236006	-4.757496	-65.361330
04759		20.267566	-4.867803	-65.613347
04760		20.299985	-4.989101	-65.880653
04761		20.344837	-5.118714	-66.160142
04762		20.386031	-5.255472	-66.450860
04763		20.428088	-5.397788	-66.754000
04764		20.459734	-5.540082	-67.066735
04765		20.487743	-5.684210	-67.388638
04766		20.517498	-5.821994	-67.717888
04767		20.543264	-5.959639	-68.051538
04768		20.550752	-6.096270	-68.395532
04769		20.551448	-6.239823	-68.751839
04770		20.547960	-6.392752	-69.123821
04771		20.533660	-6.555004	-69.509154
04772		20.501712	-6.723343	-69.908501
04773		20.434564	-6.899057	-70.319546
04774		20.341044	-7.079012	-70.754573
04775		20.246094	-7.255921	-71.216480
04776		20.164534	-7.425056	-71.695768
04777		20.095155	-7.585623	-72.184116
04778		20.054779	-7.729114	-72.673009
04779		20.030027	-7.866237	-73.161893
04780		20.013184	-8.009087	-73.655288
04781		19.996991	-8.155050	-74.150109
04782		19.967075	-8.296068	-74.655304
04783		19.932160	-8.426727	-75.179607
04784		19.913499	-8.552461	-75.724567
04785		19.926972	-8.661887	-76.282470
04786		19.961794	-8.755215	-76.845576
04787		20.014209	-8.843474	-77.418681
04788		20.085451	-8.937530	-77.990356
04789		20.170440	-9.028674	-78.566703
04790		20.251701	-9.118170	-79.144486
04791		20.319547	-9.203524	-79.725446
04792		20.373443	-9.273876	-80.305334
04793		20.419654	-9.340137	-80.888970
04794		20.472659	-9.407085	-81.472057
04795		20.532075	-9.477706	-82.055856
04796		20.597656	-9.549873	-82.628295
04797		20.669516	-9.618784	-83.189501
04798		20.744048	-9.698418	-83.752587
04799		20.816232	-9.787851	-84.319173
04800		20.871726	-9.892631	-84.898577
04801		20.934206	-10.002901	-85.485860
04802		21.013720	-10.094936	-86.085782
04803		21.100844	-10.148731	-86.677503
04804		21.190106	-10.178195	-87.256110
04805		21.264572	-10.202268	-87.825637
04806		21.313123	-10.239481	-88.394998
04807		21.318365	-10.308542	-88.986513
04808		21.329179	-10.394674	-89.584508
04809		21.375664	-10.484962	-90.163784
04810		21.445684	-10.581221	-90.741885
04811		21.579699	-10.665936	-91.318969
04812		21.749011	-10.721907	-91.893248
04813		21.919956	-10.758145	-92.470879
04814		22.068600	-10.801778	-93.056188
04815		22.217415	-10.854648	-93.643610
04816		22.362174	-10.906743	-94.227210
04817		22.518283	-10.959054	-94.805461
04818		22.662348	-11.003026	-95.387610
04819		22.798326	-11.051267	-95.967908
04820		22.914077	-11.089018	-96.544252
04821		22.997796	-11.118231	-97.125981
04822		23.040311	-11.126340	-97.703878
04823		23.059540	-11.133722	-98.281228
04824		23.084014	-11.159822	-98.859850
04825		23.112284	-11.184191	-99.434537
04826		23.154278	-11.207908	-100.016008
04827		23.186491	-11.232642	-100.584001
04828		23.197282	-11.268532	-101.130677
04829		23.188127	-11.319518	-101.671387
04830		23.173166	-11.381405	-102.208139
04831		23.166496	-11.442706	-102.741661
04832		23.168309	-11.500744	-103.278248
04833		23.183338	-11.542592	-103.805420
04834		23.208882	-11.573777	-104.326898
04835		23.240791	-11.599239	-104.842039
04836		23.246279	-11.616011	-105.348671
04837		23.230169	-11.640202	-105.856345
04838		23.201646	-11.668778	-106.364125
04839		23.176243	-11.700383	-106.860200
04840		23.164349	-11.725915	-107.347581
04841		23.169390	-11.741668	-107.830806
04842		23.187358	-11.760583	-108.306575
04843		23.200579	-11.794938	-108.776619
04844		23.212490	-11.839173	-109.236024
04845		23.235710	-11.874510	-109.683203
04846		23.250746	-11.905020	-110.124278
04847		23.259284	-11.947502	-110.567406
04848		23.272855	-11.993019	-111.007322
04849		23.297782	-12.020959	-111.436009
04850		23.324907	-12.044585	-111.846934
04851		23.361302	-12.070536	-112.249594
04852		23.400828	-12.094925	-112.638934
04853		23.449056	-12.121776	-113.017027
04854		23.495709	-12.150527	-113.387405
04855		23.555752	-12.178325	-113.752571
04856		23.612228	-12.202788	-114.112532
04857		23.661372	-12.211534	-114.467342
04858		23.691715	-12.205967	-114.821247
04859		23.721290	-12.190246	-115.171077
04860		23.740239	-12.166254	-115.510950
04861		23.759921	-12.156384	-115.849503
04862		23.785382	-12.149648	-116.183922
04863		23.829933	-12.130230	-116.504718
04864		23.888005	-12.113949	-116.815561
04865		23.959432	-12.102346	-117.119711
04866		24.044805	-12.100729	-117.422845
04867		24.134981	-12.100279	-117.722749
04868		24.222597	-12.097872	-118.021589
04869		24.298136	-12.087952	-118.314173
04870		24.361166	-12.072708	-118.603885
04871		24.418725	-12.056660	-118.893998
04872		24.477503	-12.034760	-119.183451
04873		24.535952	-12.004174	-119.464734
04874		24.586494	-11.970034	-119.741966
04875		24.648954	-11.951316	-120.011397
04876		24.710701	-11.936602	-120.272392
04877		24.781157	-11.932009	-120.535576
04878		24.848298	-11.925942	-120.799836
04879		24.915809	-11.923868	-121.065723
04880		24.974403	-11.928653	-121.336645
04881		25.034962	-11.928268	-121.605185
04882		25.084358	-11.918636	-121.864109
04883		25.132937	-11.912948	-122.121120
04884		25.186444	-11.910118	-122.373738
04885		25.240759	-11.909308	-122.623140
04886		25.284215	-11.907573	-122.874248
04887		25.344298	-11.902732	-123.127517
04888		25.403406	-11.903895	-123.382480
04889		25.465546	-11.900795	-123.637794
04890		25.532528	-11.907302	-123.898659
04891		25.606524	-11.904749	-124.153912
04892		25.674985	-11.896797	-124.404951
04893		25.741523	-11.887115	-124.655561
04894		25.806930	-11.872041	-124.919846
04895		25.862066	-11.869280	-125.187327
04896		25.915896	-11.884115	-125.445207
04897		25.977516	-11.895328	-125.691787
04898		26.031566	-11.902124	-125.933849
04899		26.096433	-11.917475	-126.176293
04900		26.162256	-11.935476	-126.417079
04901		26.228442	-11.950324	-126.656643
04902		26.283363	-11.962709	-126.895280
04903		26.329178	-11.979962	-127.127245
04904		26.366148	-11.994465	-127.353120
04905		26.391484	-11.998984	-127.573388
04906		26.421612	-11.996081	-127.789063
04907		26.448513	-11.996975	-128.002688
04908		26.465267	-11.994422	-128.209005
04909		26.468854	-11.986763	-128.399214
04910		26.450876	-11.981112	-128.568616
04911		26.388813	-11.962359	-128.723278
04912		26.243848	-11.911988	-128.874465
04913		26.025661	-11.802592	-129.033157
04914		25.776717	-11.654694	-129.219879
04915		25.538173	-11.503187	-129.432315
04916		25.322500	-11.379080	-129.656527
04917		25.155542	-11.281633	-129.883068
04918		25.022928	-11.199568	-130.109891
04919		24.927636	-11.124323	-130.338423
04920		24.854219	-11.053826	-130.577362
04921		24.810352	-10.984379	-130.820911
04922		24.779050	-10.923598	-131.079156
04923		24.777874	-10.881291	-131.347252
04924		24.787080	-10.846007	-131.616222
04925		24.821359	-10.811165	-131.880391
04926		24.896680	-10.766218	-132.137034
04927		25.015414	-10.725238	-132.393442
04928		25.149740	-10.692724	-132.646730
04929		25.284530	-10.652575	-132.892106
04930		25.414714	-10.619466	-133.129769
04931		25.552881	-10.598670	-133.361085
04932		25.676993	-10.576591	-133.581024
04933		25.803702	-10.559610	-133.792037
04934		25.914978	-10.545728	-133.994529
04935		26.007998	-10.528074	-134.187230
04936		26.080727	-10.503882	-134.374769
04937		26.147713	-10.473120	-134.549539
