// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F1
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
04661		15.732150	2.773549	-12.618539
04662		15.702405	2.778757	-12.538048
04663		15.702796	2.771799	-12.460446
04664		15.733547	2.764611	-12.387143
04665		15.779596	2.751929	-12.319053
04666		15.830128	2.752714	-12.256342
04667		15.869593	2.750420	-12.197403
04668		15.895831	2.760660	-12.143334
04669		15.903905	2.764556	-12.091879
04670		15.897087	2.776341	-12.045264
04671		15.866608	2.783353	-12.000135
04672		15.827845	2.803636	-11.961190
04673		15.783577	2.817880	-11.928662
04674		15.744432	2.836849	-11.898697
04675		15.704519	2.844961	-11.870583
04676		15.672322	2.858169	-11.843649
04677		15.645065	2.859544	-11.815944
04678		15.628068	2.863936	-11.795448
04679		15.610391	2.859059	-11.780750
04680		15.598212	2.862832	-11.772073
04681		15.582940	2.864485	-11.759288
04682		15.572717	2.880427	-11.745127
04683		15.557194	2.886622	-11.731666
04684		15.539838	2.899467	-11.726049
04685		15.516297	2.904849	-11.719474
04686		15.487898	2.911290	-11.715096
04687		15.446081	2.906454	-11.713366
04688		15.403285	2.911793	-11.711396
04689		15.359977	2.910449	-11.713141
04690		15.325033	2.912963	-11.721394
04691		15.286399	2.905633	-11.729207
04692		15.254914	2.908071	-11.742312
04693		15.233681	2.903840	-11.752156
04694		15.221343	2.904323	-11.761404
04695		15.210206	2.892189	-11.768857
04696		15.203113	2.879587	-11.774015
04697		15.202106	2.860252	-11.783513
04698		15.209936	2.856487	-11.797197
04699		15.217968	2.843780	-11.819570
04700		15.216834	2.839865	-11.844247
04701		15.197323	2.835119	-11.863709
04702		15.158713	2.838907	-11.881613
04703		15.099887	2.833057	-11.897348
04704		15.037469	2.837093	-11.914508
04705		14.980215	2.829136	-11.935596
04706		14.938961	2.826402	-11.960086
04707		14.911746	2.821742	-11.987051
04708		14.898960	2.823738	-12.017528
04709		14.884631	2.816190	-12.052381
04710		14.861829	2.810816	-12.090403
04711		14.832967	2.797359	-12.131030
04712		14.800307	2.789104	-12.172215
04713		14.758055	2.777855	-12.212445
04714		14.720112	2.772497	-12.257573
04715		14.679997	2.757023	-12.307880
04716		14.652758	2.745512	-12.366862
04717		14.640840	2.726253	-12.429258
04718		14.649417	2.708381	-12.499128
04719		14.662062	2.675502	-12.572548
04720		14.670531	2.649353	-12.644619
04721		14.666931	2.613305	-12.716545
04722		14.651703	2.589874	-12.790785
04723		14.624820	2.561496	-12.867709
04724		14.592007	2.537113	-12.951723
04725		14.552838	2.500266	-13.037772
04726		14.520418	2.468415	-13.123988
04727		14.494936	2.424725	-13.210157
04728		14.476648	2.394076	-13.297285
04729		14.464784	2.361836	-13.382563
04730		14.463473	2.332934	-13.476050
04731		14.458557	2.287403	-13.574331
04732		14.454389	2.247744	-13.679687
04733		14.449792	2.204310	-13.791205
04734		14.448948	2.168799	-13.904900
04735		14.434805	2.125401	-14.022553
04736		14.408868	2.084355	-14.142225
04737		14.377624	2.039653	-14.265422
04738		14.340995	2.005313	-14.388985
04739		14.306538	1.964560	-14.524156
04740		14.281676	1.931512	-14.669892
04741		14.258921	1.888750	-14.827771
04742		14.243669	1.854801	-14.998001
04743		14.229095	1.808769	-15.179725
04744		14.205083	1.772696	-15.370624
04745		14.179082	1.726840	-15.570665
04746		14.150896	1.682118	-15.782938
04747		14.119345	1.626457	-16.004985
04748		14.085470	1.580496	-16.242107
04749		14.050983	1.526572	-16.490900
04750		14.016023	1.483264	-16.753304
04751		13.974251	1.437897	-17.029724
04752		13.921651	1.396748	-17.318896
04753		13.858186	1.339634	-17.616996
04754		13.782197	1.284631	-17.928632
04755		13.700633	1.215718	-18.251033
04756		13.621967	1.144906	-18.584714
04757		13.554781	1.067960	-18.931849
04758		13.503411	0.998203	-19.285394
04759		13.462487	0.913213	-19.652693
04760		13.433980	0.831801	-20.037706
04761		13.420055	0.736859	-20.432785
04762		13.402525	0.647495	-20.838873
04763		13.380925	0.548483	-21.260144
04764		13.345401	0.452062	-21.696683
04765		13.285047	0.341844	-22.147078
04766		13.202167	0.235879	-22.610942
04767		13.097910	0.123025	-23.086277
04768		12.980300	0.016290	-23.574762
04769		12.857394	-0.098939	-24.077964
04770		12.725850	-0.202360	-24.600315
04771		12.588433	-0.312396	-25.147242
04772		12.433808	-0.410203	-25.724563
04773		12.254060	-0.509058	-26.329325
04774		12.028655	-0.597402	-26.947418
04775		11.750441	-0.687725	-27.571348
04776		11.420266	-0.753712	-28.191726
04777		11.058308	-0.819798	-28.812989
04778		10.683297	-0.882079	-29.439634
04779		10.325539	-0.954805	-30.078606
04780		10.011101	-1.019274	-30.731168
04781		9.770173	-1.087752	-31.403756
04782		9.608296	-1.141658	-32.096287
04783		9.533320	-1.202550	-32.803949
04784		9.519634	-1.258279	-33.518149
04785		9.548055	-1.316991	-34.241415
04786		9.601153	-1.363445	-34.960975
04787		9.666308	-1.414670	-35.695130
04788		9.718697	-1.451515	-36.432637
04789		9.765539	-1.481859	-37.180336
04790		9.788661	-1.504198	-37.930999
04791		9.793088	-1.535776	-38.688582
04792		9.779553	-1.558930	-39.441210
04793		9.763277	-1.599127	-40.195534
04794		9.744211	-1.647034	-40.942092
04795		9.756720	-1.702202	-41.689464
04796		9.812844	-1.743997	-42.447982
04797		9.936463	-1.793381	-43.217618
04798		10.103739	-1.837720	-44.001207
04799		10.312350	-1.890848	-44.793741
04800		10.539720	-1.938078	-45.590964
04801		10.791607	-1.991648	-46.400857
04802		11.045487	-2.032341	-47.220572
04803		11.300911	-2.071966	-48.066790
04804		11.553312	-2.101502	-48.933258
04805		11.823842	-2.132120	-49.838558
04806		12.112154	-2.158995	-50.781385
04807		12.451044	-2.211903	-51.734596
04808		12.820170	-2.273586	-52.681669
04809		13.190100	-2.353270	-53.601510
04810		13.520518	-2.424757	-54.503477
04811		13.813616	-2.487234	-55.412271
04812		14.093969	-2.532468	-56.338622
04813		14.403236	-2.597385	-57.282693
04814		14.744049	-2.689017	-58.222856
04815		15.112905	-2.802567	-59.143565
04816		15.485283	-2.888673	-60.042159
04817		15.866979	-2.942065	-60.929844
04818		16.233599	-2.970917	-61.821073
04819		16.580020	-3.009298	-62.717619
04820		16.882189	-3.057886	-63.619752
04821		17.153338	-3.112028	-64.518282
04822		17.368751	-3.155403	-65.406198
04823		17.547494	-3.202954	-66.271313
04824		17.656784	-3.235482	-67.116107
04825		17.705208	-3.257871	-67.941082
04826		17.711335	-3.267065	-68.748900
04827		17.698932	-3.271714	-69.550424
04828		17.689799	-3.274458	-70.351932
04829		17.693693	-3.301323	-71.149357
04830		17.666912	-3.325864	-71.940014
04831		17.621234	-3.347644	-72.711644
04832		17.548067	-3.347120	-73.462971
04833		17.463280	-3.339904	-74.197927
04834		17.380097	-3.329687	-74.929697
04835		17.317726	-3.324324	-75.663725
04836		17.278863	-3.311919	-76.397750
04837		17.274654	-3.310783	-77.122323
04838		17.273158	-3.309447	-77.835724
04839		17.269157	-3.307731	-78.535647
04840		17.257257	-3.295679	-79.220770
04841		17.250100	-3.287774	-79.900291
04842		17.240272	-3.281024	-80.572146
04843		17.262491	-3.276992	-81.239883
04844		17.302045	-3.268745	-81.899651
04845		17.367814	-3.264058	-82.555170
04846		17.445857	-3.248146	-83.199799
04847		17.539639	-3.230600	-83.831935
04848		17.633299	-3.211239	-84.455213
04849		17.748672	-3.201617	-85.064307
04850		17.856155	-3.194044	-85.658968
04851		17.981135	-3.188081	-86.230329
04852		18.098906	-3.173596	-86.782014
04853		18.218879	-3.159081	-87.318092
04854		18.325651	-3.143877	-87.843801
04855		18.414892	-3.138587	-88.353358
04856		18.460509	-3.117414	-88.846290
04857		18.490253	-3.084652	-89.325220
04858		18.517014	-3.042856	-89.792408
04859		18.564377	-3.010689	-90.255483
04860		18.641225	-2.993800	-90.719477
04861		18.767167	-2.993149	-91.176141
04862		18.926574	-2.987274	-91.618290
04863		19.124209	-2.980351	-92.040715
04864		19.335694	-2.958308	-92.446987
04865		19.556202	-2.936674	-92.842388
04866		19.769218	-2.925408	-93.240642
04867		19.987395	-2.928022	-93.641525
04868		20.200077	-2.927050	-94.038460
04869		20.408387	-2.916003	-94.428717
04870		20.602684	-2.891795	-94.810058
04871		20.795815	-2.871108	-95.186476
04872		20.975942	-2.852931	-95.557877
04873		21.161615	-2.845936	-95.920450
04874		21.335234	-2.829742	-96.274011
04875		21.514256	-2.809135	-96.618832
04876		21.689017	-2.786803	-96.963183
04877		21.869514	-2.771735	-97.308413
04878		22.035175	-2.755377	-97.654715
04879		22.191566	-2.745488	-98.000778
04880		22.319783	-2.733074	-98.341672
04881		22.438381	-2.711761	-98.670527
04882		22.547820	-2.686832	-99.000059
04883		22.667574	-2.670864	-99.329873
04884		22.805633	-2.658462	-99.666915
04885		22.972510	-2.648963	-100.009845
04886		23.148341	-2.639476	-100.357664
04887		23.331085	-2.633034	-100.706000
04888		23.497673	-2.618811	-101.054637
04889		23.660160	-2.615447	-101.403817
04890		23.803450	-2.609192	-101.754195
04891		23.942340	-2.601054	-102.107503
04892		24.078672	-2.585034	-102.466893
04893		24.237878	-2.568732	-102.829046
04894		24.402463	-2.561827	-103.188809
04895		24.563899	-2.561946	-103.546176
04896		24.703507	-2.549892	-103.898711
04897		24.835044	-2.531777	-104.248381
04898		24.936482	-2.518611	-104.601152
04899		25.026769	-2.522052	-104.954483
04900		25.096966	-2.525164	-105.307087
04901		25.174809	-2.516187	-105.655117
04902		25.255486	-2.497379	-105.995682
04903		25.357334	-2.483974	-106.337116
04904		25.468077	-2.478652	-106.685388
04905		25.600896	-2.475731	-107.035896
04906		25.743805	-2.473718	-107.395034
04907		25.910574	-2.473992	-107.760621
04908		26.087505	-2.464359	-108.134815
04909		26.288713	-2.447819	-108.522657
04910		26.485245	-2.421645	-108.930469
04911		26.684586	-2.394233	-109.364650
04912		26.857275	-2.361053	-109.813541
04913		26.987032	-2.331012	-110.274345
04914		27.044243	-2.292019	-110.734421
04915		27.061406	-2.246261	-111.188858
04916		27.027189	-2.185298	-111.626662
04917		26.973558	-2.119862	-112.046479
04918		26.909059	-2.061774	-112.454920
04919		26.870339	-2.020850	-112.865391
04920		26.850560	-1.994711	-113.282570
04921		26.865183	-1.971877	-113.703151
04922		26.915078	-1.941693	-114.121291
04923		27.012072	-1.906534	-114.539765
04924		27.147997	-1.866919	-114.951406
04925		27.338262	-1.822098	-115.349549
04926		27.564577	-1.774009	-115.729467
04927		27.833076	-1.730089	-116.090907
04928		28.111386	-1.689294	-116.440986
04929		28.389015	-1.651338	-116.778771
04930		28.636534	-1.617959	-117.101576
04931		28.855149	-1.588771	-117.403484
04932		29.028503	-1.558151	-117.682704
04933		29.177410	-1.531963	-117.937814
04934		29.301157	-1.513743	-118.172908
04935		29.418863	-1.502594	-118.388427
04936		29.517129	-1.491737	-118.579514
04937		29.617053	-1.477618	-118.754014
04938		29.709965	-1.466185	-118.908132
04939		29.801682	-1.459980	-119.041541
04940		29.872277	-1.453623	-119.150685
04941		29.936035	-1.452904	-119.239802
04942		29.972455	-1.456250	-119.313193
