// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
15440		75.796536	-11.516372	31.582663
15441		75.795774	-11.517402	31.584254
15442		75.791284	-11.519462	31.586047
15443		75.786650	-11.517292	31.591380
15444		75.783634	-11.516716	31.593799
15445		75.782866	-11.513020	31.598387
15446		75.777612	-11.510805	31.600416
15447		75.773563	-11.511560	31.602006
15448		75.771494	-11.511934	31.604030
15449		75.767449	-11.510869	31.607414
15450		75.767374	-11.513628	31.607066
15451		75.766274	-11.509747	31.607273
15452		75.761755	-11.501636	31.609128
15453		75.757074	-11.490375	31.615095
15454		75.750772	-11.479342	31.625907
15455		75.741655	-11.467756	31.636954
15456		75.729640	-11.456748	31.652493
15457		75.715786	-11.447915	31.666008
15458		75.705354	-11.445455	31.674307
15459		75.696619	-11.443117	31.689116
15460		75.690460	-11.444342	31.700940
15461		75.692184	-11.450857	31.712020
15462		75.699458	-11.458857	31.722953
15463		75.709514	-11.464536	31.731196
15464		75.720560	-11.465194	31.743616
15465		75.724016	-11.456492	31.755465
15466		75.730924	-11.442476	31.766832
15467		75.737911	-11.414603	31.780785
15468		75.738035	-11.384092	31.794481
15469		75.730407	-11.353770	31.808497
15470		75.702038	-11.329986	31.823371
15471		75.665562	-11.305463	31.844794
15472		75.648914	-11.279524	31.861311
15473		75.630655	-11.250247	31.882962
15474		75.614887	-11.213714	31.912660
15475		75.611887	-11.180319	31.936547
15476		75.635316	-11.148002	31.962574
15477		75.664885	-11.123073	31.988277
15478		75.697031	-11.108255	32.014472
15479		75.747223	-11.107468	32.040336
15480		75.823879	-11.109257	32.080541
15481		75.930984	-11.111984	32.130374
15482		76.085880	-11.122670	32.174905
15483		76.271097	-11.129675	32.215870
15484		76.427504	-11.130428	32.260448
15485		76.548306	-11.126318	32.301321
15486		76.628746	-11.119280	32.331516
15487		76.667122	-11.106510	32.363418
15488		76.652142	-11.086779	32.394067
15489		76.598376	-11.055701	32.428748
15490		76.553063	-11.023285	32.460161
15491		76.524420	-10.989623	32.494997
15492		76.555713	-10.959968	32.538758
15493		76.627438	-10.943319	32.586032
15494		76.732304	-10.950262	32.632770
15495		76.868854	-10.975451	32.669574
15496		77.046435	-11.013281	32.693292
15497		77.260487	-11.058602	32.721660
15498		77.454187	-11.125889	32.718653
15499		77.607251	-11.187672	32.731593
15500		77.644109	-11.242865	32.726508
15501		77.634249	-11.286834	32.710794
15502		77.651571	-11.326069	32.714307
15503		77.691758	-11.366632	32.718241
15504		77.737163	-11.412551	32.725511
15505		77.787630	-11.461524	32.751972
15506		77.828525	-11.534163	32.775719
15507		77.870456	-11.635240	32.798410
15508		77.922595	-11.769953	32.828794
15509		77.990062	-11.937889	32.866552
15510		78.079115	-12.116781	32.910149
15511		78.191620	-12.314589	32.946927
15512		78.309593	-12.531471	32.979055
15513		78.417571	-12.759717	33.009419
15514		78.508621	-13.007194	33.033417
15515		78.571104	-13.274461	33.050305
15516		78.615027	-13.557152	33.074005
15517		78.676280	-13.833984	33.114808
15518		78.764350	-14.113097	33.139048
15519		78.855522	-14.407799	33.153804
15520		78.937100	-14.717681	33.176125
15521		78.999877	-15.046921	33.199916
15522		79.052902	-15.397391	33.222199
15523		79.089265	-15.766136	33.252455
15524		79.099632	-16.158195	33.294097
15525		79.100802	-16.571154	33.338882
15526		79.105899	-16.998388	33.396181
15527		79.126094	-17.440969	33.470207
15528		79.163881	-17.903053	33.556495
15529		79.199067	-18.383110	33.650605
15530		79.222998	-18.877710	33.763100
15531		79.233124	-19.383265	33.886335
15532		79.217633	-19.895760	34.034128
15533		79.187655	-20.414273	34.198063
15534		79.152685	-20.942295	34.374408
15535		79.108975	-21.479734	34.557146
15536		79.049596	-22.024453	34.740607
15537		78.980698	-22.575932	34.929340
15538		78.905932	-23.134537	35.116631
15539		78.842011	-23.696638	35.315656
15540		78.787443	-24.266169	35.524734
15541		78.738597	-24.838463	35.742069
15542		78.695978	-25.414432	35.970702
15543		78.650809	-25.992636	36.209721
15544		78.593665	-26.572764	36.452231
15545		78.510419	-27.157508	36.699304
15546		78.421342	-27.743976	36.952462
15547		78.324080	-28.340268	37.207559
15548		78.232848	-28.944517	37.459732
15549		78.148988	-29.554258	37.718282
15550		78.074275	-30.172646	37.986917
15551		78.004514	-30.801384	38.260741
15552		77.937890	-31.437013	38.552214
15553		77.884539	-32.084423	38.863001
15554		77.820955	-32.750289	39.177969
15555		77.709482	-33.425493	39.524918
15556		77.517365	-34.101405	39.879340
15557		77.254340	-34.775917	40.263857
15558		76.944381	-35.446761	40.662092
15559		76.613730	-36.119932	41.085843
15560		76.251713	-36.807497	41.510369
15561		75.862068	-37.508934	41.954541
15562		75.458197	-38.222761	42.401766
15563		75.044518	-38.936547	42.876620
15564		74.621759	-39.653871	43.348976
15565		74.177796	-40.368367	43.844697
15566		73.708822	-41.080096	44.344435
15567		73.223962	-41.790281	44.867482
15568		72.724558	-42.504301	45.402912
15569		72.186282	-43.218017	45.975563
15570		71.613140	-43.924736	46.565352
15571		71.022555	-44.631444	47.194145
15572		70.415228	-45.329123	47.849369
15573		69.776965	-46.012459	48.556297
15574		69.102814	-46.683713	49.294247
15575		68.406623	-47.347335	50.075446
15576		67.702468	-48.012384	50.861963
15577		66.994986	-48.676090	51.668951
15578		66.264628	-49.334147	52.491917
15579		65.512672	-49.982002	53.344227
15580		64.757045	-50.607978	54.212206
15581		63.983884	-51.209213	55.110540
15582		63.188200	-51.788839	56.019547
15583		62.358705	-52.340695	56.972584
15584		61.502162	-52.870179	57.932970
15585		60.624270	-53.382851	58.917804
15586		59.731977	-53.886690	59.902590
15587		58.821018	-54.376534	60.897542
15588		57.887058	-54.846515	61.901699
15589		56.919506	-55.303730	62.925409
15590		55.931532	-55.749795	63.936929
15591		54.946009	-56.180814	64.957235
15592		53.949042	-56.602778	65.976674
15593		52.949730	-57.011320	67.011073
15594		51.954279	-57.404834	68.053329
15595		50.984524	-57.780973	69.101867
15596		50.044263	-58.150178	70.142518
15597		49.117318	-58.512996	71.179117
15598		48.197630	-58.860697	72.205704
15599		47.293580	-59.184248	73.244095
15600		46.403007	-59.482500	74.282968
15601		45.510845	-59.759352	75.327216
15602		44.627872	-60.007868	76.335214
15603		43.754924	-60.234757	77.301195
15604		42.895370	-60.438664	78.211717
15605		42.055376	-60.620615	79.078183
15606		41.290798	-60.793486	79.862946
15607		40.601571	-60.949305	80.599875
15608		39.997812	-61.086842	81.273700
15609		39.473607	-61.211233	81.902864
15610		39.005574	-61.322372	82.471189
15611		38.594401	-61.421555	82.982940
15612		38.203450	-61.518159	83.452369
15613		37.833434	-61.612623	83.894834
15614		37.484561	-61.703262	84.311407
15615		37.144485	-61.785061	84.716447
15616		36.805754	-61.859670	85.103340
15617		36.485148	-61.922513	85.477802
15618		36.167222	-61.980933	85.830824
15619		35.851223	-62.036352	86.153023
15620		35.533060	-62.086053	86.452143
15621		35.189591	-62.129311	86.750383
15622		34.826108	-62.166501	87.051411
15623		34.489195	-62.200467	87.369081
15624		34.161708	-62.241214	87.705210
15625		33.861429	-62.292969	88.055548
15626		33.582827	-62.341602	88.435640
15627		33.313936	-62.391991	88.840707
15628		33.046861	-62.438839	89.259876
15629		32.737587	-62.486348	89.708067
15630		32.364529	-62.535748	90.169482
15631		31.942038	-62.582741	90.657385
15632		31.463209	-62.629848	91.169333
15633		30.915555	-62.682298	91.713931
15634		30.272233	-62.734035	92.294708
15635		29.523411	-62.781198	92.916044
15636		28.676180	-62.822347	93.563432
15637		27.734073	-62.860168	94.225978
15638		26.694403	-62.888547	94.889733
15639		25.569168	-62.911083	95.561499
15640		24.395870	-62.919667	96.216330
15641		23.170290	-62.912920	96.861338
15642		21.883036	-62.891908	97.491167
15643		20.578806	-62.870160	98.083746
15644		19.265084	-62.843700	98.636004
15645		17.923240	-62.819861	99.148672
15646		16.581653	-62.797769	99.615186
15647		15.288760	-62.756865	100.062638
15648		14.058666	-62.708418	100.505477
15649		12.858129	-62.656649	100.940404
15650		11.687112	-62.601429	101.361259
15651		10.534889	-62.551404	101.764633
15652		9.421173	-62.515868	102.129775
15653		8.382617	-62.495133	102.473252
15654		7.417804	-62.479644	102.803241
15655		6.545807	-62.475866	103.113882
15656		5.816482	-62.459445	103.396828
15657		5.214618	-62.426281	103.651896
15658		4.740078	-62.396373	103.874624
15659		4.318210	-62.374441	104.118611
15660		3.859277	-62.348966	104.357171
15661		3.379547	-62.320789	104.591898
15662		2.860827	-62.302621	104.833605
15663		2.302607	-62.291625	105.077715
15664		1.747807	-62.287364	105.291553
15665		1.193978	-62.283278	105.504679
15666		0.673567	-62.282123	105.693785
15667		0.192539	-62.276981	105.870189
15668		-0.258805	-62.273064	106.039133
15669		-0.707760	-62.274330	106.214932
15670		-1.158123	-62.263773	106.390176
