// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
15440		70.886852	-17.263079	-1.228893
15441		70.889542	-17.262914	-1.226946
15442		70.888635	-17.262005	-1.226220
15443		70.884709	-17.263322	-1.226113
15444		70.882748	-17.259410	-1.223295
15445		70.882388	-17.254538	-1.219957
15446		70.880461	-17.253666	-1.218072
15447		70.879926	-17.253279	-1.216228
15448		70.876664	-17.257870	-1.214112
15449		70.877561	-17.261722	-1.213338
15450		70.883647	-17.263284	-1.217119
15451		70.888339	-17.260162	-1.226510
15452		70.888052	-17.253734	-1.236091
15453		70.880276	-17.243967	-1.238248
15454		70.865783	-17.234011	-1.231395
15455		70.846643	-17.224768	-1.220443
15456		70.826028	-17.219787	-1.204687
15457		70.810740	-17.214944	-1.188829
15458		70.798857	-17.215430	-1.177728
15459		70.794970	-17.217724	-1.169054
15460		70.801526	-17.226095	-1.167496
15461		70.819881	-17.231359	-1.169633
15462		70.843999	-17.239514	-1.176045
15463		70.870297	-17.242296	-1.183358
15464		70.893021	-17.242651	-1.194668
15465		70.909659	-17.236764	-1.214551
15466		70.918724	-17.212394	-1.229887
15467		70.914221	-17.177259	-1.239546
15468		70.898777	-17.138768	-1.243205
15469		70.876036	-17.106883	-1.239800
15470		70.848965	-17.087757	-1.236127
15471		70.816433	-17.073714	-1.232089
15472		70.778358	-17.055279	-1.220225
15473		70.738662	-17.030863	-1.209958
15474		70.702536	-16.995376	-1.198638
15475		70.674101	-16.951771	-1.184064
15476		70.667899	-16.900857	-1.170054
15477		70.688973	-16.853917	-1.158224
15478		70.735426	-16.825275	-1.150791
15479		70.808862	-16.810429	-1.151090
15480		70.910128	-16.805502	-1.168945
15481		71.067485	-16.790637	-1.190242
15482		71.250363	-16.742066	-1.197538
15483		71.433079	-16.683459	-1.209025
15484		71.603877	-16.620448	-1.226852
15485		71.746009	-16.566245	-1.266871
15486		71.875461	-16.524028	-1.323943
15487		71.988483	-16.483225	-1.386317
15488		72.077390	-16.430318	-1.433467
15489		72.118620	-16.365873	-1.455008
15490		72.112141	-16.286360	-1.443271
15491		72.070590	-16.197854	-1.405016
15492		72.035211	-16.128555	-1.369833
15493		72.062508	-16.081642	-1.338920
15494		72.172683	-16.053870	-1.340949
15495		72.396185	-16.060672	-1.388429
15496		72.821170	-16.053263	-1.490902
15497		73.317971	-16.016856	-1.638989
15498		73.823696	-15.962461	-1.816515
15499		74.287321	-15.888012	-1.985152
15500		74.629457	-15.833018	-2.139035
15501		74.821328	-15.805593	-2.265572
15502		74.904993	-15.753341	-2.355497
15503		74.919306	-15.700007	-2.408778
15504		74.928857	-15.669520	-2.445618
15505		74.982465	-15.681239	-2.499414
15506		75.094097	-15.725664	-2.575992
15507		75.262720	-15.802745	-2.674181
15508		75.483355	-15.909620	-2.777875
15509		75.726551	-16.030247	-2.877296
15510		75.970003	-16.167074	-2.974385
15511		76.192931	-16.318338	-3.062762
15512		76.400196	-16.481399	-3.144692
15513		76.601604	-16.634241	-3.220525
15514		76.811820	-16.767115	-3.289513
