// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44730
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
08434		5.553336	16.741125	-26.042149
08435		5.542021	16.735967	-26.065103
08436		5.529153	16.731463	-26.087665
08437		5.515068	16.726079	-26.110056
08438		5.498151	16.718700	-26.133061
08439		5.478961	16.711715	-26.153782
08440		5.462099	16.705151	-26.175259
08441		5.448166	16.700912	-26.194045
08442		5.438176	16.698312	-26.212655
08443		5.439056	16.697493	-26.236119
08444		5.450138	16.690851	-26.258181
08445		5.462022	16.682432	-26.275597
08446		5.477220	16.672362	-26.290208
08447		5.491549	16.662241	-26.300985
08448		5.504945	16.650857	-26.310331
08449		5.520554	16.641336	-26.317628
08450		5.538516	16.633467	-26.329329
08451		5.558910	16.629605	-26.338516
08452		5.576355	16.629666	-26.342590
08453		5.587010	16.636510	-26.341989
08454		5.592676	16.641915	-26.334864
08455		5.594714	16.648272	-26.327438
08456		5.594124	16.649636	-26.318775
08457		5.598482	16.649064	-26.310171
08458		5.602858	16.646715	-26.302325
08459		5.610662	16.644827	-26.292871
08460		5.615741	16.639414	-26.286662
08461		5.613858	16.637807	-26.276276
08462		5.601329	16.636994	-26.267830
08463		5.580212	16.640986	-26.257324
08464		5.561616	16.644952	-26.252528
08465		5.561246	16.646662	-26.258736
08466		5.578801	16.645232	-26.279542
08467		5.611668	16.638244	-26.310946
08468		5.654494	16.622688	-26.348989
08469		5.702639	16.599334	-26.391138
08470		5.746942	16.572052	-26.430749
08471		5.783404	16.544157	-26.462300
08472		5.815766	16.519087	-26.485926
08473		5.837625	16.496004	-26.499813
08474		5.852792	16.475356	-26.503977
08475		5.858486	16.452587	-26.500397
08476		5.847978	16.431720	-26.486498
08477		5.824646	16.413135	-26.458116
08478		5.787147	16.392494	-26.420767
08479		5.735026	16.375871	-26.370664
08480		5.680802	16.364455	-26.313272
08481		5.627237	16.361819	-26.255943
08482		5.584214	16.361048	-26.205516
08483		5.553401	16.359523	-26.164191
08484		5.538454	16.358310	-26.131061
08485		5.531233	16.349504	-26.097234
08486		5.519896	16.339532	-26.063971
08487		5.508535	16.325686	-26.028941
08488		5.498502	16.307521	-25.996832
08489		5.491147	16.289478	-25.970345
08490		5.492612	16.269695	-25.950251
08491		5.503546	16.248704	-25.939045
08492		5.520251	16.225772	-25.936559
08493		5.541235	16.200223	-25.933299
08494		5.559590	16.174065	-25.924606
08495		5.570933	16.146118	-25.911508
08496		5.565922	16.119537	-25.890913
08497		5.553812	16.090650	-25.865994
08498		5.536057	16.055376	-25.837357
08499		5.511882	16.018324	-25.804543
08500		5.481906	15.977484	-25.776257
08501		5.450270	15.937344	-25.747841
08502		5.420801	15.896381	-25.722870
08503		5.399798	15.859607	-25.701701
08504		5.385943	15.822789	-25.689592
08505		5.386015	15.781103	-25.682229
08506		5.383798	15.733451	-25.672582
08507		5.373243	15.682463	-25.663747
08508		5.358717	15.634076	-25.653023
08509		5.342448	15.585583	-25.644758
08510		5.324292	15.538688	-25.636488
08511		5.302821	15.498095	-25.627242
08512		5.280299	15.468023	-25.612733
08513		5.248063	15.446522	-25.588930
08514		5.210051	15.423856	-25.555580
