// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F1
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
08434		15.509003	72.046074	-6.034967
08435		15.510932	72.057342	-6.050754
08436		15.511356	72.065316	-6.062528
08437		15.500611	72.073440	-6.080911
08438		15.488748	72.083076	-6.097414
08439		15.478852	72.092339	-6.111119
08440		15.460509	72.096228	-6.138840
08441		15.431499	72.092302	-6.179589
08442		15.397829	72.079410	-6.228129
08443		15.355297	72.059744	-6.280390
08444		15.329173	72.040903	-6.317287
08445		15.304822	72.021844	-6.351498
08446		15.290782	71.998059	-6.375391
08447		15.292232	71.981932	-6.390702
08448		15.298565	71.972553	-6.406334
08449		15.308619	71.967300	-6.417913
08450		15.308440	71.958809	-6.438237
08451		15.306201	71.946560	-6.452067
08452		15.298310	71.933577	-6.465650
08453		15.299151	71.924502	-6.466923
08454		15.298072	71.919795	-6.464491
08455		15.297473	71.920037	-6.464481
08456		15.292728	71.917695	-6.467123
08457		15.278797	71.913332	-6.481331
08458		15.269551	71.909710	-6.493484
08459		15.256509	71.908661	-6.510754
08460		15.243874	71.903520	-6.527776
08461		15.223859	71.893099	-6.559893
08462		15.205985	71.876837	-6.589049
08463		15.181840	71.854166	-6.621086
08464		15.154318	71.818736	-6.654160
08465		15.139883	71.770672	-6.674999
08466		15.131915	71.709249	-6.687555
08467		15.141112	71.643728	-6.686312
08468		15.155720	71.572364	-6.683886
08469		15.182045	71.504656	-6.677234
08470		15.202533	71.436968	-6.684318
08471		15.223666	71.370523	-6.692437
08472		15.227251	71.305941	-6.711505
08473		15.210932	71.247105	-6.742644
08474		15.160539	71.194448	-6.797443
08475		15.082574	71.154009	-6.866344
08476		14.978444	71.124715	-6.952158
08477		14.876848	71.108707	-7.028514
08478		14.772010	71.098624	-7.104964
08479		14.667363	71.092511	-7.176684
08480		14.560207	71.084571	-7.248299
08481		14.448788	71.069717	-7.319348
08482		14.343049	71.045402	-7.387482
08483		14.231524	71.010808	-7.461669
08484		14.135076	70.969818	-7.528474
08485		14.063343	70.930985	-7.571927
08486		14.017541	70.891076	-7.592398
08487		14.006299	70.851070	-7.587218
08488		14.023589	70.813656	-7.568051
08489		14.052985	70.781853	-7.549060
08490		14.084856	70.751278	-7.537210
08491		14.120705	70.724157	-7.529517
08492		14.141517	70.695649	-7.536347
08493		14.185265	70.663301	-7.526559
08494		14.227585	70.625022	-7.523083
08495		14.277518	70.589152	-7.514400
08496		14.333186	70.553744	-7.500450
08497		14.392150	70.524788	-7.479369
08498		14.442255	70.492480	-7.466486
08499		14.475370	70.458580	-7.463820
08500		14.498590	70.424441	-7.461853
08501		14.502205	70.387205	-7.469309
08502		14.505612	70.340318	-7.471505
08503		14.512581	70.283685	-7.467305
08504		14.527229	70.215891	-7.451398
08505		14.548945	70.144662	-7.422266
08506		14.572241	70.072988	-7.384534
08507		14.593012	70.002245	-7.343004
08508		14.626290	69.933236	-7.294737
08509		14.647680	69.864361	-7.262337
08510		14.665647	69.791511	-7.238175
08511		14.664562	69.717706	-7.235217
08512		14.649344	69.637742	-7.237772
08513		14.630665	69.545601	-7.235038
08514		14.615153	69.434008	-7.219713
08515		14.625739	69.309531	-7.175590
08516		14.652483	69.176781	-7.109496
08517		14.693462	69.048826	-7.018200
08518		14.741018	68.931905	-6.918528
08519		14.791039	68.828730	-6.810275
08520		14.833582	68.730533	-6.703888
08521		14.874441	68.626526	-6.585761
08522		14.930798	68.509006	-6.445319
08523		15.018657	68.371696	-6.263275
08524		15.130576	68.218291	-6.039600
08525		15.241517	68.056596	-5.796000
08526		15.348365	67.890252	-5.538830
08527		15.464896	67.721216	-5.256780
08528		15.590654	67.545692	-4.955415
08529		15.737482	67.363599	-4.626049
08530		15.902776	67.170480	-4.271959
08531		16.080820	66.969466	-3.895632
08532		16.257526	66.757112	-3.510608
08533		16.434277	66.528874	-3.128750
08534		16.607249	66.286409	-2.758153
08535		16.781243	66.029448	-2.377820
08536		16.947461	65.756447	-1.989795
08537		17.090693	65.464864	-1.610451
08538		17.213835	65.153640	-1.240599
08539		17.323310	64.819718	-0.881191
08540		17.430341	64.461851	-0.528863
08541		17.525954	64.090114	-0.197876
08542		17.630923	63.702073	0.129202
