// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
08434		58.708371	-15.684666	22.215851
08435		58.699843	-15.679480	22.188178
08436		58.698350	-15.676010	22.161049
08437		58.709407	-15.672780	22.134786
08438		58.745613	-15.670753	22.109404
08439		58.809287	-15.673627	22.082257
08440		58.896346	-15.679628	22.058252
08441		59.005692	-15.687216	22.039978
08442		59.122505	-15.694758	22.026903
08443		59.217209	-15.697000	22.021003
08444		59.252445	-15.689852	22.024817
08445		59.233950	-15.678846	22.015221
08446		59.195978	-15.672436	22.003816
08447		59.192790	-15.667563	21.997764
08448		59.233851	-15.666313	21.992758
08449		59.296261	-15.669101	21.984288
08450		59.348534	-15.675714	21.978059
08451		59.375855	-15.680108	21.974319
08452		59.368890	-15.684233	21.966177
08453		59.348858	-15.689931	21.957127
08454		59.323176	-15.692854	21.949798
08455		59.303748	-15.695581	21.943621
08456		59.290991	-15.700565	21.936712
08457		59.284203	-15.703925	21.933226
08458		59.276416	-15.708509	21.927925
08459		59.267888	-15.709800	21.925380
08460		59.259535	-15.712434	21.924508
08461		59.252113	-15.708874	21.924294
08462		59.242444	-15.705733	21.924122
08463		59.220454	-15.696950	21.927809
08464		59.184123	-15.682273	21.940638
08465		59.132821	-15.661417	21.957651
08466		59.062195	-15.637944	21.978436
08467		58.980928	-15.614887	22.003465
08468		58.887511	-15.590052	22.037465
08469		58.789937	-15.563576	22.077023
08470		58.688627	-15.541944	22.121621
08471		58.588967	-15.516687	22.165486
08472		58.499221	-15.498158	22.208785
08473		58.430288	-15.479715	22.248188
08474		58.392131	-15.463908	22.280540
08475		58.388459	-15.451273	22.308476
08476		58.406509	-15.441672	22.331809
08477		58.437735	-15.429163	22.353707
08478		58.467367	-15.421999	22.375996
08479		58.481237	-15.410803	22.404939
08480		58.469175	-15.395927	22.431476
08481		58.441277	-15.381088	22.457542
08482		58.387153	-15.366033	22.484687
08483		58.314336	-15.347837	22.517335
08484		58.213054	-15.323046	22.554656
08485		58.113316	-15.294891	22.587965
08486		58.023519	-15.265418	22.618003
08487		57.967168	-15.237139	22.643721
08488		57.945804	-15.210640	22.661897
08489		57.957037	-15.183835	22.673726
08490		57.978403	-15.158566	22.681892
08491		57.994373	-15.134633	22.679958
08492		57.999552	-15.116360	22.672341
08493		58.000767	-15.106070	22.662326
08494		57.993524	-15.092593	22.651018
08495		57.996509	-15.076297	22.637341
08496		58.008270	-15.066835	22.619731
08497		58.029900	-15.052147	22.602188
08498		58.064742	-15.037833	22.585356
08499		58.111601	-15.025684	22.570096
08500		58.161928	-15.009233	22.557518
08501		58.211703	-14.999151	22.553391
08502		58.221102	-14.982539	22.544773
08503		58.198193	-14.957839	22.550778
08504		58.133355	-14.939282	22.551619
08505		58.046213	-14.917635	22.557737
08506		57.944721	-14.887564	22.571052
08507		57.852865	-14.848529	22.584967
08508		57.784680	-14.821285	22.597754
08509		57.747490	-14.791378	22.608439
08510		57.721734	-14.765867	22.618587
08511		57.714098	-14.746389	22.628440
08512		57.706951	-14.729711	22.637714
08513		57.684699	-14.714681	22.640028
08514		57.644211	-14.701800	22.636950
08515		57.604023	-14.687832	22.641773
08516		57.573513	-14.687411	22.651303
08517		57.576370	-14.684534	22.665848
08518		57.579946	-14.700165	22.678254
08519		57.623044	-14.717103	22.702261
08520		57.647010	-14.734574	22.718759
08521		57.714021	-14.777477	22.736480
08522		57.769327	-14.856805	22.779706
08523		57.734103	-14.943288	22.822592
08524		57.598104	-15.045794	22.862195
08525		57.397041	-15.179671	22.905029
08526		57.153525	-15.342050	22.954519
08527		56.920051	-15.537634	23.018865
08528		56.707779	-15.769137	23.099843
08529		56.526612	-16.034891	23.195090
08530		56.367014	-16.336681	23.307423
08531		56.212824	-16.672535	23.436079
08532		56.043449	-17.040080	23.577282
08533		55.844244	-17.438069	23.733206
08534		55.580273	-17.865137	23.906006
08535		55.246927	-18.319821	24.091000
08536		54.860572	-18.800304	24.291074
08537		54.442783	-19.308230	24.507397
08538		53.998931	-19.834962	24.749849
08539		53.545196	-20.377862	25.012588
08540		53.084892	-20.940117	25.295536
08541		52.622197	-21.518617	25.595735
08542		52.145185	-22.114128	25.917057
08543		51.653267	-22.722596	26.253287
08544		51.141080	-23.344918	26.604778
08545		50.613577	-23.979907	26.967465
08546		50.064788	-24.629577	27.343877
08547		49.489518	-25.294458	27.729859
08548		48.886323	-25.961843	28.126506
