// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
08434		60.025626	-7.115833	7.380298
08435		59.990681	-7.110131	7.389247
08436		59.957392	-7.095380	7.417001
08437		59.930333	-7.069227	7.456129
08438		59.915490	-7.031504	7.512080
08439		59.918150	-6.974088	7.596839
08440		59.930421	-6.906845	7.707303
08441		59.949214	-6.838476	7.823129
08442		59.975445	-6.784553	7.929417
08443		60.003221	-6.754861	7.989217
08444		60.037495	-6.737200	8.006638
08445		60.080564	-6.733202	8.009270
08446		60.117942	-6.732879	8.007113
08447		60.145087	-6.726778	8.014159
08448		60.158203	-6.712645	8.032613
08449		60.164020	-6.692280	8.058619
08450		60.164672	-6.676265	8.079998
08451		60.160885	-6.658990	8.099171
08452		60.154365	-6.646806	8.108702
08453		60.146164	-6.636238	8.110412
08454		60.127103	-6.627599	8.114864
08455		60.101411	-6.617636	8.118970
08456		60.069643	-6.610190	8.123543
08457		60.038269	-6.603504	8.126075
08458		60.008263	-6.598776	8.128110
08459		59.986782	-6.596579	8.128919
08460		59.968917	-6.592841	8.132304
08461		59.963235	-6.584461	8.131528
08462		59.963081	-6.574628	8.128108
08463		59.960898	-6.563604	8.124110
08464		59.951107	-6.553072	8.119816
08465		59.926575	-6.543731	8.118594
08466		59.881156	-6.537547	8.125085
08467		59.816158	-6.539102	8.142911
08468		59.733208	-6.544520	8.170363
08469		59.639003	-6.558912	8.203036
08470		59.541145	-6.580831	8.235479
08471		59.456941	-6.601299	8.267923
08472		59.393952	-6.617921	8.302578
08473		59.358562	-6.627575	8.334417
08474		59.355202	-6.633605	8.360481
08475		59.381500	-6.634961	8.374541
08476		59.434860	-6.631193	8.376980
08477		59.506485	-6.624307	8.366713
08478		59.579004	-6.616575	8.347557
08479		59.639870	-6.611901	8.324431
08480		59.669230	-6.612297	8.300695
08481		59.665493	-6.612824	8.286364
08482		59.626096	-6.611133	8.284892
08483		59.552801	-6.608929	8.289101
08484		59.456161	-6.614333	8.286746
08485		59.359439	-6.618917	8.277624
08486		59.273247	-6.623177	8.261421
08487		59.203813	-6.621074	8.243798
08488		59.157815	-6.609080	8.225241
08489		59.145197	-6.583991	8.203834
08490		59.160355	-6.552250	8.178724
08491		59.200285	-6.524206	8.146822
08492		59.253553	-6.500531	8.115098
08493		59.311169	-6.482753	8.084315
08494		59.359499	-6.470312	8.059415
08495		59.395844	-6.463123	8.035611
08496		59.419785	-6.450833	8.016152
08497		59.437641	-6.433126	7.997800
08498		59.458850	-6.412723	7.975043
08499		59.491609	-6.383657	7.948330
08500		59.538017	-6.351809	7.919260
08501		59.581540	-6.316404	7.900130
08502		59.610345	-6.300629	7.860806
08503		59.621172	-6.299380	7.819755
08504		59.607412	-6.308997	7.783897
08505		59.563251	-6.328448	7.747430
08506		59.496065	-6.347981	7.719841
08507		59.414550	-6.364462	7.697820
08508		59.334140	-6.367232	7.685498
08509		59.271676	-6.354849	7.680379
08510		59.236200	-6.329331	7.676689
08511		59.235431	-6.293077	7.665404
08512		59.266949	-6.247839	7.642918
08513		59.327849	-6.200152	7.600025
08514		59.412548	-6.161487	7.533396
08515		59.523394	-6.121918	7.448246
08516		59.682344	-6.089928	7.329233
08517		59.881416	-6.081988	7.166768
08518		60.068347	-6.071642	7.000025
08519		60.320134	-6.173196	6.837445
08520		60.647252	-6.272507	6.788339
08521		60.930701	-6.354021	6.740966
08522		61.070021	-6.411902	6.733001
08523		61.072299	-6.487498	6.741675
08524		60.968908	-6.596338	6.774795
08525		60.838939	-6.755608	6.826053
08526		60.737186	-6.966077	6.875302
08527		60.681404	-7.217839	6.910499
08528		60.667193	-7.499758	6.933784
08529		60.683507	-7.808568	6.955885
08530		60.718037	-8.152156	6.993473
08531		60.752516	-8.542166	7.048680
08532		60.764023	-8.986718	7.116231
08533		60.745487	-9.476178	7.191150
08534		60.703223	-10.008330	7.270483
08535		60.650114	-10.589735	7.354149
08536		60.592077	-11.217076	7.447686
08537		60.523980	-11.878335	7.557460
08538		60.433573	-12.565929	7.683707
