// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44877
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
17734		6.880760	1.165467	-40.537392
17735		6.872427	1.159670	-40.578024
17736		6.871116	1.154778	-40.615572
17737		6.875145	1.152310	-40.649001
17738		6.873938	1.147344	-40.681020
17739		6.873374	1.139200	-40.716342
17740		6.868108	1.135467	-40.765832
17741		6.858619	1.126118	-40.829262
17742		6.844877	1.114024	-40.908913
17743		6.826238	1.103149	-41.004167
17744		6.803514	1.080350	-41.110597
17745		6.778961	1.043334	-41.222969
17746		6.750434	0.999876	-41.340052
17747		6.720086	0.947034	-41.458560
17748		6.689514	0.893010	-41.575323
17749		6.657163	0.846128	-41.680724
17750		6.623272	0.807349	-41.769996
17751		6.591086	0.776780	-41.837598
17752		6.563001	0.755634	-41.879631
17753		6.535966	0.741217	-41.893812
17754		6.509010	0.729014	-41.880813
17755		6.481271	0.720829	-41.843216
17756		6.447195	0.724167	-41.779845
17757		6.402409	0.727418	-41.703657
17758		6.374374	0.720234	-41.612271
17759		6.365143	0.720623	-41.514945
17760		6.372190	0.719949	-41.414800
17761		6.388766	0.714161	-41.310753
17762		6.419263	0.705234	-41.203267
17763		6.456406	0.702986	-41.091936
17764		6.496397	0.710241	-40.984566
17765		6.542297	0.727552	-40.874633
17766		6.590664	0.752960	-40.770684
17767		6.644764	0.774865	-40.678333
17768		6.697662	0.792152	-40.598651
17769		6.732707	0.810819	-40.525462
17770		6.748891	0.830791	-40.454999
17771		6.740177	0.856185	-40.384035
17772		6.714223	0.886151	-40.314365
17773		6.678662	0.916499	-40.243905
17774		6.642095	0.937703	-40.174875
17775		6.613802	0.947473	-40.105701
17776		6.587328	0.947547	-40.032382
17777		6.557701	0.929644	-39.961055
17778		6.525006	0.908234	-39.891179
17779		6.486522	0.889065	-39.822921
17780		6.442323	0.866709	-39.759826
17781		6.410456	0.839031	-39.710396
17782		6.388261	0.808304	-39.681669
17783		6.382373	0.768498	-39.669020
17784		6.390413	0.722321	-39.670123
17785		6.402562	0.675113	-39.677880
17786		6.411995	0.633387	-39.687571
17787		6.419847	0.604568	-39.697192
17788		6.425149	0.584509	-39.705445
17789		6.441453	0.573937	-39.718651
17790		6.466566	0.573947	-39.734667
17791		6.501150	0.578849	-39.760109
17792		6.539950	0.582077	-39.791263
17793		6.568582	0.583506	-39.823804
17794		6.588181	0.589734	-39.851926
17795		6.595806	0.595879	-39.870998
17796		6.597888	0.600838	-39.879120
17797		6.604765	0.613330	-39.871222
17798		6.611631	0.626966	-39.849147
17799		6.617874	0.640600	-39.816939
17800		6.630862	0.654775	-39.777934
17801		6.646356	0.670307	-39.735070
17802		6.672354	0.688518	-39.691544
17803		6.702201	0.708547	-39.647731
17804		6.731039	0.727526	-39.610500
17805		6.765758	0.746453	-39.576027
17806		6.797017	0.766503	-39.544114
17807		6.827935	0.785349	-39.513387
17808		6.858437	0.799959	-39.486948
17809		6.894260	0.812120	-39.465522
17810		6.933656	0.824799	-39.451293
17811		6.971278	0.841049	-39.442164
17812		7.005684	0.855546	-39.437876
17813		7.040312	0.874492	-39.433913
17814		7.068823	0.895643	-39.420346
17815		7.090743	0.918820	-39.399178
17816		7.108516	0.943161	-39.371314
17817		7.129225	0.970262	-39.342998
17818		7.148435	0.993148	-39.315282
17819		7.168151	1.014627	-39.290650
17820		7.185455	1.032126	-39.273146
17821		7.202329	1.045937	-39.259092
17822		7.211624	1.064093	-39.240692
17823		7.217022	1.087221	-39.220712
17824		7.216756	1.112605	-39.199503
17825		7.214115	1.142228	-39.180499
17826		7.210552	1.171350	-39.164341
17827		7.209971	1.199773	-39.153851
17828		7.207006	1.226495	-39.147365
17829		7.199100	1.247366	-39.144781
17830		7.182300	1.269009	-39.142234
17831		7.162516	1.290345	-39.141726
17832		7.140858	1.315279	-39.149935
17833		7.120820	1.339495	-39.179667
17834		7.116943	1.358737	-39.225573
17835		7.115408	1.377495	-39.277106
17836		7.110846	1.397625	-39.326573
17837		7.089635	1.415237	-39.377839
17838		7.050186	1.425065	-39.432621
17839		6.997565	1.431239	-39.489287
17840		6.943273	1.435793	-39.552698
17841		6.904145	1.437339	-39.626439
17842		6.870425	1.436985	-39.713275
17843		6.840635	1.438636	-39.808054
17844		6.804967	1.438606	-39.901297
17845		6.775589	1.433181	-39.999896
17846		6.756687	1.421832	-40.114831
17847		6.745493	1.403837	-40.236206
17848		6.741486	1.385799	-40.361016
17849		6.737740	1.366756	-40.497100
17850		6.730123	1.347433	-40.637832
17851		6.714660	1.326306	-40.779016
17852		6.694403	1.306569	-40.916257
17853		6.680866	1.288010	-41.054088
17854		6.664293	1.266108	-41.196082
17855		6.642702	1.237215	-41.347569
17856		6.618549	1.197967	-41.514404
17857		6.606010	1.157521	-41.706071
17858		6.606897	1.125948	-41.906966
17859		6.607245	1.097995	-42.102681
17860		6.596534	1.082553	-42.277139
17861		6.561846	1.070040	-42.433163
17862		6.501098	1.063940	-42.583911
17863		6.428575	1.061093	-42.732504
17864		6.333088	1.053038	-42.904168
17865		6.262277	1.045428	-43.101923
17866		6.216262	1.038007	-43.302704
17867		6.196407	1.036424	-43.498438
17868		6.183987	1.042700	-43.677111
17869		6.178571	1.051990	-43.856114
17870		6.163230	1.053488	-44.052806
17871		6.146191	1.046408	-44.255325
17872		6.121737	1.040390	-44.453988
17873		6.088274	1.041140	-44.642551
17874		6.048137	1.042803	-44.828179
17875		6.039481	1.044306	-45.012406
17876		6.030033	1.023958	-45.218007
17877		6.035633	0.998808	-45.446883
17878		6.072484	0.972830	-45.690799
17879		6.124402	0.947493	-45.943508
17880		6.206463	0.921851	-46.192049
17881		6.291814	0.914510	-46.415961
17882		6.378469	0.923301	-46.614555
17883		6.442872	0.936679	-46.802678
17884		6.491346	0.948199	-47.001182
17885		6.515024	0.941495	-47.204527
17886		6.530409	0.912816	-47.420238
17887		6.558927	0.881850	-47.657030
17888		6.659841	0.870154	-47.897279
17889		6.804772	0.869929	-48.151553
17890		6.956131	0.876973	-48.401801
17891		7.095486	0.907137	-48.617648
17892		7.189285	0.939601	-48.819059
17893		7.242426	0.970171	-49.026579
17894		7.287200	0.998675	-49.233513
17895		7.314620	1.010348	-49.431438
17896		7.341062	1.020103	-49.659537
17897		7.422810	1.048098	-49.887582
17898		7.497281	1.069995	-50.112967
17899		7.561687	1.087709	-50.328167
17900		7.598021	1.105852	-50.536304
17901		7.611758	1.129911	-50.749163
17902		7.672888	1.176839	-50.976682
17903		7.754650	1.242325	-51.191776
17904		7.831954	1.306077	-51.395265
17905		7.923976	1.368271	-51.587850
17906		8.030692	1.445650	-51.781234
17907		8.106013	1.501429	-52.010953
17908		8.176270	1.546532	-52.274921
17909		8.261947	1.628128	-52.534242
17910		8.348906	1.728096	-52.780399
17911		8.466414	1.844812	-53.011233
17912		8.568637	1.959136	-53.230779
17913		8.636843	2.022874	-53.484464
17914		8.692652	2.085721	-53.774484
17915		8.752876	2.176636	-54.100002
17916		8.857702	2.292637	-54.434543
17917		8.987742	2.420805	-54.744496
17918		9.122331	2.549006	-55.024315
17919		9.234458	2.657036	-55.273576
17920		9.332528	2.748649	-55.516850
17921		9.442798	2.849315	-55.757979
17922		9.573170	2.957762	-56.009628
17923		9.685891	3.047935	-56.302440
17924		9.782595	3.131200	-56.620986
17925		9.918273	3.239401	-56.928369
17926		10.047522	3.357883	-57.213139
17927		10.144009	3.465233	-57.484401
17928		10.240861	3.587138	-57.733918
17929		10.364675	3.721909	-57.979104
17930		10.461668	3.808670	-58.254375
17931		10.595967	3.921836	-58.532347
17932		10.734283	4.059856	-58.792692
17933		10.892568	4.196610	-59.042390
17934		11.018660	4.326266	-59.275346
17935		11.108923	4.461168	-59.503851
17936		11.198910	4.592324	-59.749928
17937		11.309724	4.737770	-60.002116
17938		11.433285	4.891911	-60.268899
