// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
59161		22.003133	9.053507	168.169933
59162		21.995261	9.065743	168.168977
59163		21.978923	9.088578	168.152782
59164		21.918818	9.121613	168.134270
59165		21.877144	9.142323	168.129284
59166		21.851656	9.167415	168.115264
59167		21.754258	9.236373	168.075739
59168		21.615779	9.334227	168.042276
59169		21.531166	9.436073	167.992159
59170		21.433410	9.563996	167.878599
59171		21.159615	9.740587	167.755801
59172		20.899686	9.894990	167.678154
59173		20.697662	10.070423	167.566581
59174		20.424504	10.276082	167.441513
59175		20.226715	10.445466	167.386353
59176		20.165509	10.504445	167.390307
59177		20.188466	10.519447	167.397886
59178		20.199462	10.535033	167.399515
59179		20.189886	10.531445	167.398935
59180		20.181544	10.527609	167.389215
59181		20.140440	10.539230	167.380676
59182		20.142911	10.515895	167.382299
59183		20.210132	10.451590	167.391555
59184		20.224910	10.415077	167.396388
59185		20.176218	10.440702	167.391833
59186		20.172245	10.461189	167.378856
59187		20.140205	10.506917	167.346896
59188		19.999312	10.623554	167.306609
59189		19.878503	10.750674	167.263425
59190		19.764540	10.900809	167.209429
59191		19.544188	11.041321	167.106653
59192		19.497192	11.110957	167.136082
59193		19.419633	11.293303	167.071052
59194		19.287694	11.538007	166.989926
59195		19.037996	11.834183	166.962156
59196		18.816599	12.030306	166.929264
59197		18.590507	12.207229	166.881217
59198		18.507888	12.414783	166.937187
59199		18.440482	12.660832	166.944373
59200		18.309534	12.924425	166.944911
59201		18.149380	13.127346	166.973037
59202		17.998165	13.232779	166.955872
59203		17.856937	13.372106	166.941314
59204		17.739243	13.485270	166.900370
59205		17.711715	13.511291	166.788325
59206		17.652173	13.620700	166.691966
59207		17.563891	13.794146	166.660357
59208		17.462793	13.910101	166.533109
59209		17.399308	14.057338	166.432810
59210		17.300646	14.338439	166.419601
59211		17.212718	14.603024	166.503021
59212		17.197099	14.600275	166.514438
59213		17.268730	14.601497	166.619097
59214		17.233582	14.582094	166.667211
59215		17.197006	14.634639	166.731238
59216		17.190248	14.644390	166.778543
59217		17.227896	14.638692	166.798198
59218		17.184341	14.558113	166.742492
59219		17.181441	14.529159	166.768693
59220		17.224923	14.504611	166.789679
59221		17.328654	14.440663	166.745984
59222		17.396363	14.330517	166.589399
59223		17.417980	14.344657	166.430899
59224		17.399437	14.392313	166.320318
59225		17.420713	14.333168	166.254899
59226		17.419757	14.258678	166.228619
59227		17.417517	14.253134	166.305246
59228		17.463643	14.163152	166.391000
59229		17.578907	13.997694	166.433272
59230		17.609885	13.948657	166.406385
59231		17.582763	13.920632	166.361096
59232		17.663053	13.833708	166.350162
59233		17.765787	13.766702	166.287409
59234		17.763516	13.698070	166.167928
59235		17.712130	13.671813	166.129807
59236		17.715892	13.610714	166.132843
59237		17.824604	13.408575	166.125132
59238		17.899773	13.141921	166.106264
59239		17.967831	12.885944	166.126086
59240		18.218626	12.594849	166.167003
59241		18.565212	12.289235	166.256011
59242		18.846484	12.121281	166.372734
59243		19.044670	12.040112	166.475156
