// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44804
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
59161		-42.819971	1.234186	97.202114
59162		-42.809666	1.226143	97.204084
59163		-42.779001	1.219073	97.208190
59164		-42.730357	1.198565	97.216199
59165		-42.705290	1.174177	97.220071
59166		-42.699749	1.138195	97.220897
59167		-42.645973	1.066753	97.238379
59168		-42.528041	0.978805	97.276699
59169		-42.433481	0.893842	97.316810
59170		-42.367379	0.781714	97.357778
59171		-42.199542	0.674296	97.394319
59172		-42.094071	0.593908	97.413558
59173		-41.994921	0.531680	97.453504
59174		-41.799301	0.427092	97.519170
59175		-41.664250	0.306467	97.597807
59176		-41.543645	0.205193	97.665577
59177		-41.487941	0.144028	97.716108
59178		-41.442501	0.107497	97.737146
59179		-41.423678	0.102686	97.721602
59180		-41.435412	0.129870	97.670386
59181		-41.469174	0.159369	97.605432
59182		-41.560796	0.190887	97.548065
59183		-41.650433	0.214375	97.511909
59184		-41.655214	0.231895	97.500088
59185		-41.650510	0.230525	97.514847
59186		-41.659979	0.197372	97.541355
59187		-41.713636	0.140073	97.585467
59188		-41.742446	0.071510	97.652032
59189		-41.765311	-0.007177	97.732251
59190		-41.682117	-0.110123	97.820303
59191		-41.528990	-0.212764	97.895254
59192		-41.490474	-0.374065	97.961556
59193		-41.457415	-0.588339	97.993358
59194		-41.439430	-0.900915	97.977016
59195		-41.365929	-1.234460	97.964562
59196		-41.029724	-1.602178	97.954343
59197		-40.593377	-1.983488	97.948823
59198		-40.173349	-2.361382	97.935017
59199		-39.743186	-2.741303	97.901736
59200		-39.370983	-3.137079	97.850327
59201		-39.019538	-3.552808	97.766466
59202		-38.670642	-3.986225	97.671825
59203		-38.342116	-4.401565	97.576343
59204		-38.011230	-4.826180	97.460909
59205		-37.729009	-5.277934	97.335251
59206		-37.521454	-5.697383	97.185001
59207		-37.203152	-6.170460	96.920581
59208		-37.008062	-6.813996	96.619932
59209		-37.059489	-7.354228	96.503931
59210		-37.114894	-7.837605	96.422829
59211		-36.576002	-8.167352	96.255793
59212		-36.445975	-8.710078	96.102771
59213		-36.161038	-9.055537	95.854892
59214		-35.723734	-9.579038	95.582538
59215		-35.084040	-9.961283	95.294409
59216		-34.613765	-10.396987	95.021004
59217		-34.488611	-10.748131	94.798924
59218		-34.332316	-11.095763	94.572870
59219		-33.985402	-11.361272	94.312503
59220		-33.677759	-11.596282	94.022975
59221		-33.578259	-11.809138	93.773354
59222		-33.533405	-12.022248	93.518762
59223		-33.382683	-12.206605	93.230477
59224		-33.235198	-12.356044	92.964366
59225		-33.052045	-12.513927	92.727770
59226		-32.839852	-12.647858	92.507957
59227		-32.591406	-12.697634	92.308360
59228		-32.417361	-12.747566	92.117179
59229		-32.333218	-12.818345	91.923594
59230		-32.292515	-12.861713	91.759822
59231		-32.216049	-12.907348	91.668284
59232		-32.156276	-12.949601	91.543141
59233		-32.197952	-12.961364	91.404626
59234		-32.190633	-12.961862	91.312530
59235		-32.072824	-12.942788	91.254753
59236		-31.968968	-12.924491	91.240883
59237		-31.995976	-12.904714	91.227540
59238		-32.059327	-12.884671	91.234753
59239		-32.115478	-12.849712	91.275571
59240		-32.243788	-12.819858	91.327360
59241		-32.426788	-12.834023	91.390398
59242		-32.590825	-12.823349	91.456897
59243		-32.620773	-12.807034	91.522184
59244		-32.649988	-12.823010	91.604130
59245		-32.647198	-12.851732	91.669571
59246		-32.673270	-12.866797	91.722857
59247		-32.630466	-12.929421	91.779376
59248		-32.594234	-12.994142	91.829029
59249		-32.590585	-13.014225	91.893146
59250		-32.570889	-13.041200	91.960381
59251		-32.521689	-13.120213	92.020001
59252		-32.485157	-13.248220	92.028193
59253		-32.582022	-13.244979	92.051575
59254		-32.595955	-13.228959	92.133569
59255		-32.491906	-13.304353	92.215036
59256		-32.408299	-13.443409	92.279724
59257		-32.498068	-13.461772	92.350665
59258		-32.466127	-13.495445	92.393942
59259		-32.394675	-13.554653	92.418049
59260		-32.371390	-13.582483	92.382602
59261		-32.406900	-13.617900	92.378051
59262		-32.338184	-13.630724	92.405962
59263		-32.313857	-13.617541	92.399901
59264		-32.261188	-13.590429	92.398693
59265		-32.112455	-13.554807	92.392372
59266		-31.872539	-13.521344	92.398510
59267		-31.597839	-13.482479	92.395359
59268		-31.345388	-13.444948	92.400292
59269		-31.177441	-13.454261	92.413524
59270		-31.170462	-13.462454	92.421525
59271		-31.179137	-13.428651	92.418216
59272		-31.123467	-13.401680	92.417261
59273		-31.071721	-13.364553	92.420842
59274		-30.907964	-13.322406	92.427775
59275		-30.692440	-13.303553	92.432102
59276		-30.543039	-13.296380	92.408749
59277		-30.576817	-13.300023	92.379911
59278		-30.648882	-13.277220	92.373826
59279		-30.649507	-13.248517	92.369698
59280		-30.661916	-13.231855	92.368843
59281		-30.649481	-13.212489	92.363086
59282		-30.587986	-13.186624	92.380209
59283		-30.483840	-13.172023	92.392167
59284		-30.466279	-13.179668	92.380403
59285		-30.529426	-13.194999	92.374728
59286		-30.563824	-13.197945	92.385874
59287		-30.582459	-13.192928	92.399059
59288		-30.580987	-13.180329	92.404220
59289		-30.546303	-13.182789	92.407453
59290		-30.519776	-13.205810	92.379291
59291		-30.541271	-13.227320	92.363862
59292		-30.506057	-13.231543	92.375885
59293		-30.482593	-13.220967	92.406221
59294		-30.501038	-13.204677	92.416911
59295		-30.566062	-13.188806	92.410951
59296		-30.600106	-13.153673	92.407772
59297		-30.627647	-13.107674	92.410577
59298		-30.687428	-13.076673	92.410622
59299		-30.744188	-13.063082	92.398296
59300		-30.746753	-13.041201	92.385686
59301		-30.615436	-13.036266	92.354083
59302		-30.508761	-13.031959	92.364490
59303		-30.440148	-13.018813	92.347629
59304		-30.536540	-13.014543	92.339823
59305		-30.645499	-12.961941	92.368226
59306		-30.692294	-12.852733	92.422514
59307		-30.707280	-12.724737	92.475513
59308		-30.663312	-12.596184	92.541379
59309		-30.631861	-12.455151	92.634043
59310		-30.621499	-12.272612	92.764792
59311		-30.667300	-12.069496	92.914450
59312		-30.666727	-11.845171	93.052260
59313		-30.772818	-11.605885	93.201789
59314		-30.990321	-11.345084	93.368760
59315		-31.155396	-11.074957	93.537390
59316		-31.252403	-10.782760	93.743362
59317		-31.307755	-10.548118	93.911162
59318		-31.322718	-10.343933	94.004479
59319		-31.411471	-10.121156	94.092548
59320		-31.378880	-9.924422	94.158885
59321		-31.288788	-9.815267	94.167716
59322		-31.298673	-9.767242	94.172650
59323		-31.268658	-9.725191	94.218729
59324		-31.145110	-9.691746	94.296806
59325		-31.019492	-9.612698	94.344219
59326		-30.905724	-9.467498	94.385554
59327		-30.834608	-9.281721	94.383591
59328		-30.858521	-9.079446	94.391971
59329		-30.993145	-8.843824	94.418991
59330		-31.233434	-8.606906	94.500457
59331		-31.653502	-8.506742	94.534998
59332		-32.079831	-8.328448	94.547598
59333		-32.503721	-7.974760	94.488162
59334		-33.012815	-7.633769	94.496684
59335		-33.213943	-7.237001	94.571344
59336		-33.288880	-6.868336	94.649315
59337		-33.514438	-6.546379	94.763825
59338		-33.688821	-6.233411	94.865988
59339		-33.901316	-5.903344	95.000692
59340		-34.053792	-5.542571	95.226689
59341		-34.043023	-5.187082	95.468464
59342		-34.007584	-4.895925	95.616644
59343		-34.204456	-4.656016	95.689149
59344		-34.424292	-4.450429	95.727737
59345		-34.496742	-4.309370	95.712363
59346		-34.619132	-4.233232	95.667632
59347		-34.749917	-4.191131	95.620325
59348		-34.725223	-4.178398	95.591164
59349		-34.660879	-4.193256	95.615327
59350		-34.682805	-4.202619	95.684708
59351		-34.790007	-4.186586	95.769936
59352		-35.001639	-4.145672	95.889764
59353		-35.157913	-4.018743	96.037708
59354		-35.263996	-3.907985	96.113861
59355		-35.645818	-3.786526	96.185275
59356		-36.009335	-3.628248	96.293086
59357		-36.142898	-3.399504	96.507733
59358		-36.010872	-3.113372	96.711411
59359		-36.134920	-2.872760	96.910068
59360		-36.763315	-2.655408	97.104552
59361		-37.741875	-2.421465	97.231554
59362		-38.204600	-2.124816	97.361635
59363		-38.190371	-1.875273	97.533604
59364		-38.012365	-1.624010	97.700178
59365		-37.935410	-1.385500	97.841339
59366		-38.070964	-1.176240	97.943918
59367		-38.293505	-0.979750	97.950843
59368		-38.521414	-0.861079	97.964975
59369		-38.576527	-0.777795	97.994542
59370		-38.531264	-0.692260	98.003751
