// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
04173		23.867406	31.469416	166.539902
04174		23.761896	31.458856	166.496039
04175		23.687712	31.463091	166.458299
04176		23.620267	31.442360	166.408643
04177		23.561595	31.407777	166.360215
04178		23.543038	31.378078	166.285067
04179		23.558649	31.318570	166.197003
04180		23.645980	31.253198	166.126503
04181		23.805207	31.138201	166.028913
04182		24.053894	31.020049	165.947566
04183		24.300817	30.936239	165.870045
04184		24.485713	30.879102	165.739085
04185		24.707628	30.853021	165.618617
04186		24.865429	30.812266	165.467709
04187		25.023494	30.768115	165.266475
04188		25.269968	30.743571	165.116445
04189		25.412235	30.725112	164.970423
04190		25.410543	30.752713	164.844968
04191		25.359287	30.811864	164.752093
04192		25.311652	30.859089	164.663860
04193		25.296145	30.902002	164.553475
04194		25.320302	30.892101	164.440026
04195		25.321695	30.845138	164.320345
04196		25.321635	30.736943	164.218255
04197		25.298623	30.604638	164.130065
04198		25.148363	30.429174	164.037145
04199		24.936849	30.242128	163.982618
04200		24.688233	30.038691	163.933586
04201		24.411373	29.841938	163.891021
04202		24.190658	29.677433	163.862220
04203		23.976692	29.525523	163.838381
04204		23.708746	29.366399	163.804751
04205		23.417333	29.204697	163.775077
04206		23.133825	29.017071	163.771652
04207		22.834391	28.802083	163.800773
04208		22.504544	28.563065	163.882137
04209		22.152417	28.355262	163.931958
04210		21.779445	28.119105	163.999308
04211		21.450808	27.890220	164.061745
04212		21.192102	27.654573	164.142530
04213		21.004807	27.395103	164.214827
04214		20.826661	27.119999	164.298851
04215		20.616347	26.849139	164.398725
04216		20.394633	26.596525	164.516638
04217		20.192535	26.337600	164.636396
04218		20.012803	26.070390	164.771003
04219		19.848187	25.821699	164.922142
04220		19.683108	25.579401	165.066971
04221		19.485410	25.331593	165.205899
04222		19.288197	25.095747	165.333752
04223		19.105411	24.871231	165.446219
04224		18.878247	24.645160	165.551298
04225		18.570779	24.419196	165.629569
04226		18.239638	24.197639	165.678692
04227		17.930302	23.975465	165.729541
04228		17.648279	23.733617	165.786683
04229		17.369143	23.483086	165.866412
04230		17.057256	23.235441	165.965018
04231		16.704514	22.973310	166.059687
04232		16.298599	22.707464	166.154210
04233		15.853131	22.461421	166.245863
04234		15.384388	22.231317	166.329957
04235		14.922361	22.019631	166.399149
04236		14.489668	21.791416	166.441598
04237		14.106790	21.544442	166.496534
04238		13.775784	21.287686	166.548309
04239		13.471372	21.025468	166.587621
04240		13.170053	20.768823	166.630355
04241		12.875470	20.501713	166.718833
04242		12.662998	20.244819	166.899291
04243		12.523155	20.016277	167.088615
04244		12.441919	19.913000	167.307229
04245		12.420812	19.900886	167.448662
04246		12.443843	19.960113	167.540350
04247		12.539545	20.157025	167.611084
04248		12.673004	20.362610	167.681506
04249		12.902972	20.561724	167.748897
04250		13.141302	20.761932	167.812424
04251		13.389345	20.938450	167.878681
04252		13.528455	21.085786	167.902771
04253		13.573694	21.265778	167.914339
04254		13.612801	21.473529	167.929565
04255		13.793760	21.638090	168.007319
04256		14.036360	21.760119	168.033918
04257		14.168695	21.882840	168.019439
04258		14.149652	22.014341	167.997360
04259		14.182672	22.096558	167.944295
04260		14.232306	22.171358	167.904224
04261		14.224795	22.239082	167.872026
04262		14.171338	22.294265	167.849902
04263		14.145209	22.348540	167.795472
