// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44846
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
04173		25.492726	20.599775	151.824524
04174		25.449999	20.632222	151.800796
04175		25.413470	20.648814	151.774943
04176		25.414412	20.688961	151.754739
04177		25.448066	20.716773	151.743671
04178		25.359973	20.652781	151.684300
04179		25.205131	20.629541	151.613399
04180		25.139451	20.604495	151.536839
04181		25.133427	20.592154	151.493177
04182		25.166396	20.579263	151.440572
04183		25.200763	20.583109	151.361420
04184		25.162960	20.628560	151.281460
04185		25.147223	20.671237	151.185694
04186		25.154047	20.706244	151.075186
04187		25.153547	20.752841	150.954286
04188		25.172852	20.771697	150.832080
04189		25.181095	20.763289	150.723887
04190		25.140982	20.772094	150.621409
04191		25.021811	20.822056	150.543941
04192		24.910874	20.888947	150.490520
04193		24.845610	20.961466	150.456287
04194		24.781389	21.034152	150.440094
04195		24.769593	21.066833	150.398672
04196		24.790867	21.026643	150.355921
04197		24.728916	20.927953	150.347456
04198		24.551905	20.776322	150.363807
04199		24.400797	20.594862	150.386445
04200		24.261879	20.410572	150.451615
04201		24.065326	20.234441	150.537409
04202		23.870135	20.060064	150.620001
04203		23.685853	19.897549	150.706289
04204		23.531803	19.733605	150.793246
04205		23.376956	19.571583	150.880462
04206		23.187389	19.387424	150.958132
04207		22.952644	19.171799	151.055693
04208		22.722073	18.927049	151.206501
04209		22.443554	18.681795	151.386248
04210		22.137200	18.473574	151.567141
04211		21.905834	18.249255	151.746662
04212		21.736864	18.002955	151.917247
04213		21.592261	17.752225	152.093036
04214		21.442942	17.510021	152.279738
04215		21.277148	17.264229	152.493466
04216		21.065682	17.024546	152.719394
04217		20.844326	16.803879	152.938977
04218		20.671822	16.599332	153.155808
04219		20.505143	16.395513	153.363038
04220		20.277267	16.208139	153.596749
04221		20.031364	16.028827	153.844616
04222		19.777248	15.856521	154.088819
04223		19.535818	15.666887	154.314497
04224		19.253735	15.487696	154.529998
04225		18.936999	15.313968	154.735652
04226		18.571137	15.159660	154.939023
04227		18.237197	14.997689	155.114514
04228		17.923252	14.817179	155.301816
04229		17.626947	14.616500	155.510067
04230		17.282294	14.404310	155.728180
04231		16.929826	14.173740	155.936088
04232		16.607867	13.929771	156.116705
04233		16.222464	13.707128	156.296431
04234		15.815474	13.505859	156.483846
04235		15.411106	13.318260	156.666102
04236		15.019788	13.144996	156.855690
04237		14.671639	12.946977	157.033556
04238		14.324940	12.750944	157.196713
04239		14.018261	12.544949	157.352599
04240		13.669331	12.346608	157.511494
04241		13.311933	12.163474	157.662778
04242		13.077177	11.962549	157.809461
04243		12.829612	11.789943	157.981720
04244		12.665626	11.715141	158.166010
04245		12.534212	11.731847	158.381980
04246		12.360727	11.907887	158.575979
04247		12.195611	12.207597	158.716710
04248		12.195255	12.487781	158.797045
04249		12.366001	12.766166	158.802551
04250		12.481280	13.071683	158.711991
04251		12.525077	13.326151	158.606390
04252		12.440632	13.527951	158.523776
04253		12.316279	13.751943	158.433524
04254		12.185922	14.030333	158.305788
04255		12.239532	14.288792	158.155400
04256		12.321821	14.509522	158.013906
04257		12.371782	14.721553	157.848191
04258		12.422824	14.901844	157.701079
04259		12.490465	15.022262	157.577468
04260		12.533250	15.139098	157.477579
04261		12.531889	15.239342	157.383630
04262		12.524669	15.310268	157.309298
04263		12.484382	15.373104	157.242158
04264		12.429938	15.438222	157.151313
04265		12.410287	15.422839	157.072298
04266		12.365348	15.380657	157.049863
04267		12.287702	15.369854	157.049846
04268		12.204284	15.376965	157.047961
04269		12.173029	15.358524	157.050671
04270		12.139105	15.299550	157.074386
04271		12.073171	15.245167	157.102596
04272		12.015648	15.217499	157.126354
04273		11.990861	15.196255	157.174757
04274		11.980991	15.155081	157.238442
04275		11.961352	15.116541	157.289924
04276		11.988462	15.046425	157.328141
04277		11.998205	14.941297	157.361949
04278		12.032465	14.840013	157.419765
04279		12.037342	14.740806	157.494486
04280		12.028762	14.669554	157.567780
04281		11.996624	14.597118	157.620686
04282		11.973667	14.523280	157.681378
04283		11.931367	14.470459	157.759704
04284		11.934747	14.421888	157.826107
04285		11.971724	14.378897	157.856717
04286		12.023097	14.363909	157.847729
04287		12.077182	14.380213	157.794938
04288		12.067151	14.418760	157.768586
04289		12.093296	14.395201	157.776046
04290		12.047033	14.363293	157.818964
04291		11.981646	14.354904	157.870740
04292		11.963418	14.347311	157.909497
04293		11.958750	14.349388	157.915501
04294		11.951529	14.351376	157.918726
04295		11.941059	14.342105	157.923407
