// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44804
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
07922		-22.167273	14.965667	-168.801296
07923		-22.153208	14.942144	-168.794255
07924		-22.135413	14.916328	-168.783376
07925		-22.108807	14.884072	-168.769505
07926		-22.079570	14.846055	-168.752244
07927		-22.050256	14.806115	-168.728963
07928		-22.028814	14.768454	-168.708461
07929		-22.006593	14.729631	-168.687790
07930		-21.990287	14.691167	-168.669152
07931		-21.972255	14.654261	-168.653090
07932		-21.961228	14.621151	-168.642456
07933		-21.946860	14.592222	-168.631339
07934		-21.939310	14.563088	-168.626059
07935		-21.924594	14.531778	-168.623851
07936		-21.910885	14.506147	-168.624661
07937		-21.888857	14.480044	-168.629952
07938		-21.866357	14.458068	-168.636902
07939		-21.838133	14.435012	-168.645046
07940		-21.818708	14.412003	-168.656419
07941		-21.800720	14.389061	-168.666370
07942		-21.789653	14.369450	-168.678464
07943		-21.778176	14.346771	-168.688339
07944		-21.770210	14.327396	-168.699759
07945		-21.750657	14.311049	-168.711405
07946		-21.731715	14.295387	-168.725140
07947		-21.710760	14.275039	-168.740456
07948		-21.694982	14.257138	-168.758531
07949		-21.678423	14.238044	-168.776430
07950		-21.664280	14.222273	-168.793956
07951		-21.650345	14.206499	-168.813289
07952		-21.640972	14.193535	-168.832825
07953		-21.620263	14.179026	-168.845904
07954		-21.592053	14.164178	-168.856645
07955		-21.552518	14.147800	-168.860943
07956		-21.511715	14.128524	-168.863305
07957		-21.468750	14.104818	-168.860848
07958		-21.426091	14.081994	-168.859217
07959		-21.375627	14.053009	-168.850215
07960		-21.331298	14.027167	-168.842699
07961		-21.292130	13.997735	-168.834144
07962		-21.265517	13.966456	-168.827334
07963		-21.235997	13.931053	-168.818332
07964		-21.207580	13.889840	-168.807858
07965		-21.157338	13.846050	-168.793090
07966		-21.084333	13.794229	-168.771474
07967		-20.989467	13.741088	-168.745683
07968		-20.877530	13.678253	-168.714233
07969		-20.756260	13.609506	-168.682741
07970		-20.679316	13.537379	-168.645170
07971		-20.601263	13.460853	-168.609976
07972		-20.557140	13.375766	-168.572507
07973		-20.497826	13.281378	-168.539460
07974		-20.425495	13.175310	-168.505815
07975		-20.342750	13.062253	-168.475394
07976		-20.239862	12.947509	-168.443182
07977		-20.136440	12.819860	-168.408615
07978		-20.016405	12.690414	-168.379328
07979		-19.894029	12.541597	-168.357220
07980		-19.821468	12.371915	-168.321488
07981		-19.655410	12.196176	-168.312032
07982		-19.568237	11.999998	-168.300108
07983		-19.450857	11.789540	-168.292251
07984		-19.329338	11.561804	-168.288242
07985		-19.185363	11.310710	-168.289274
07986		-19.055862	11.029819	-168.295647
07987		-18.927792	10.696678	-168.316116
07988		-18.784108	10.333397	-168.344074
07989		-18.665094	9.989383	-168.338902
07990		-18.689314	9.714684	-168.325141
07991		-18.623443	9.429518	-168.323254
07992		-18.389423	9.022967	-168.343696
07993		-18.351540	8.558168	-168.394211
07994		-18.414754	8.109955	-168.437381
07995		-18.525400	7.780718	-168.462366
07996		-18.450256	7.420756	-168.513759
07997		-18.330337	7.050514	-168.578331
07998		-18.222060	6.615808	-168.658803
07999		-18.099861	6.150713	-168.761139
08000		-17.997831	5.673276	-168.875042
08001		-17.877533	5.191395	-168.992467
08002		-17.722414	4.719308	-169.115390
08003		-17.520919	4.242748	-169.236535
