// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4486D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
07922		-34.185695	-39.793180	169.194294
07923		-34.154140	-39.806120	169.173339
07924		-34.112664	-39.818395	169.146191
07925		-34.061494	-39.825745	169.112993
07926		-34.005020	-39.826303	169.073260
07927		-33.949104	-39.824513	169.034944
07928		-33.894185	-39.819330	168.997406
07929		-33.846406	-39.812483	168.964993
07930		-33.803363	-39.803894	168.935325
07931		-33.764955	-39.796780	168.908180
07932		-33.727726	-39.790300	168.879028
07933		-33.690736	-39.785500	168.849345
07934		-33.654062	-39.779098	168.819327
07935		-33.615772	-39.776552	168.793182
07936		-33.579035	-39.777157	168.766154
07937		-33.544546	-39.780850	168.742882
07938		-33.514038	-39.788091	168.722623
07939		-33.487759	-39.797897	168.705257
07940		-33.461120	-39.807843	168.686564
07941		-33.444450	-39.814726	168.670654
07942		-33.426729	-39.820017	168.650716
07943		-33.408575	-39.821705	168.626224
07944		-33.387564	-39.821074	168.604502
07945		-33.368735	-39.818635	168.583727
07946		-33.351323	-39.812036	168.565336
07947		-33.337692	-39.804745	168.551225
07948		-33.324115	-39.796580	168.535470
07949		-33.308263	-39.794895	168.519798
07950		-33.291670	-39.797931	168.504734
07951		-33.270200	-39.802693	168.486628
07952		-33.249463	-39.805429	168.471692
07953		-33.222803	-39.801853	168.455238
07954		-33.188026	-39.793223	168.436226
07955		-33.143940	-39.774215	168.412124
07956		-33.092558	-39.747732	168.383023
07957		-33.031558	-39.716560	168.349973
07958		-32.969214	-39.684521	168.311357
07959		-32.910977	-39.650989	168.278608
07960		-32.850661	-39.618559	168.241410
07961		-32.799629	-39.590137	168.210471
07962		-32.751387	-39.560194	168.181108
07963		-32.693742	-39.527226	168.151524
07964		-32.625076	-39.493904	168.121120
07965		-32.542063	-39.454286	168.088739
07966		-32.445585	-39.411150	168.055938
07967		-32.334608	-39.363283	168.017291
07968		-32.215537	-39.309146	167.977088
07969		-32.096090	-39.248682	167.936719
07970		-31.974304	-39.181246	167.897254
07971		-31.859084	-39.110817	167.862693
07972		-31.747444	-39.032734	167.832289
07973		-31.642812	-38.944854	167.811098
07974		-31.553400	-38.850354	167.807034
07975		-31.456662	-38.752900	167.810864
07976		-31.352203	-38.647239	167.820611
07977		-31.243778	-38.536846	167.833144
07978		-31.127910	-38.422727	167.843987
07979		-30.995262	-38.295737	167.852234
07980		-30.848375	-38.145656	167.865398
07981		-30.710654	-37.973042	167.903680
07982		-30.596151	-37.785155	167.967050
07983		-30.495818	-37.584759	168.048169
07984		-30.400374	-37.365029	168.132533
07985		-30.310738	-37.123766	168.214722
07986		-30.235452	-36.854880	168.301655
07987		-30.181678	-36.567384	168.404280
07988		-30.147585	-36.276961	168.523319
07989		-30.110292	-35.996182	168.643747
07990		-30.040853	-35.722675	168.750327
07991		-29.928510	-35.426090	168.842919
07992		-29.786349	-35.075155	168.941845
07993		-29.654035	-34.696834	169.089168
07994		-29.573320	-34.329505	169.288661
07995		-29.513774	-33.987446	169.501302
07996		-29.422539	-33.634568	169.691105
07997		-29.291042	-33.247693	169.868628
07998		-29.140535	-32.838452	170.058265
07999		-28.991258	-32.422791	170.282051
08000		-28.848479	-32.009259	170.533645
08001		-28.720595	-31.606188	170.801757
08002		-28.584679	-31.217010	171.073206
08003		-28.406339	-30.836079	171.333410
08004		-28.179277	-30.464064	171.583785
08005		-27.916389	-30.107674	171.837983
08006		-27.634638	-29.763901	172.101353
08007		-27.354019	-29.419747	172.379728
08008		-27.067562	-29.054696	172.668758
08009		-26.763458	-28.679038	172.969108
08010		-26.465455	-28.316141	173.287710
08011		-26.185219	-27.974672	173.610564
08012		-25.920717	-27.653671	173.926559
08013		-25.664922	-27.355336	174.233617
08014		-25.415655	-27.050824	174.527931
08015		-25.175259	-26.739659	174.793095
08016		-24.959578	-26.417375	175.057024
08017		-24.768592	-26.094645	175.317225
08018		-24.607114	-25.794989	175.609463
08019		-24.481351	-25.521487	175.910442
08020		-24.391695	-25.258297	176.230879
