// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
12625		128.862539	-72.940815	-23.485205
12626		128.879694	-72.941815	-23.494688
12627		128.897423	-72.944352	-23.506762
12628		128.873337	-72.947757	-23.473907
12629		128.843419	-72.953704	-23.443800
12630		128.816933	-72.955793	-23.421212
12631		128.810196	-72.950900	-23.418657
12632		128.795605	-72.942891	-23.405099
12633		128.792220	-72.935196	-23.400872
12634		128.779793	-72.928416	-23.389961
12635		128.798136	-72.918934	-23.412528
12636		128.836607	-72.911251	-23.456599
12637		128.871454	-72.907379	-23.493045
12638		128.883190	-72.910090	-23.501568
12639		128.890969	-72.916145	-23.510718
12640		128.910059	-72.924697	-23.538940
12641		128.934108	-72.928068	-23.573564
12642		128.950077	-72.930725	-23.598758
12643		128.951018	-72.930891	-23.601389
12644		128.926360	-72.931937	-23.574822
12645		128.909970	-72.929290	-23.560874
12646		128.920424	-72.923684	-23.577019
12647		128.970512	-72.915472	-23.633505
12648		129.025670	-72.903935	-23.698461
12649		129.069359	-72.888550	-23.752293
12650		129.108445	-72.876549	-23.804714
12651		129.116537	-72.870287	-23.826833
12652		129.075571	-72.866858	-23.799154
12653		129.005679	-72.862270	-23.744012
12654		128.918161	-72.856163	-23.673304
12655		128.850353	-72.853883	-23.624065
12656		128.793679	-72.850709	-23.590700
12657		128.780450	-72.848281	-23.601260
12658		128.781683	-72.847809	-23.622802
12659		128.794149	-72.847469	-23.640482
12660		128.794891	-72.848888	-23.638960
12661		128.799379	-72.851906	-23.644743
12662		128.810478	-72.856156	-23.674147
12663		128.816196	-72.858458	-23.713133
12664		128.809476	-72.866430	-23.755394
12665		128.779381	-72.878041	-23.797087
12666		128.721037	-72.896453	-23.843025
