// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F1
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
29100		48.016660	38.640205	-15.518684
29101		48.010662	38.572829	-15.523246
29102		48.037789	38.521719	-15.517875
29103		48.097686	38.486351	-15.513791
29104		48.187185	38.462136	-15.511628
29105		48.298612	38.442971	-15.496871
29106		48.403651	38.420266	-15.479862
29107		48.502076	38.387992	-15.465373
29108		48.584656	38.350497	-15.463740
29109		48.660646	38.314651	-15.478256
29110		48.735477	38.277988	-15.511250
29111		48.813646	38.251328	-15.540699
29112		48.882577	38.231121	-15.559388
29113		48.937634	38.219879	-15.576720
29114		48.984797	38.209702	-15.591743
29115		49.017117	38.200205	-15.603269
29116		49.041499	38.186970	-15.608224
29117		49.062452	38.171566	-15.607523
29118		49.080800	38.152160	-15.598064
29119		49.096693	38.125963	-15.582777
29120		49.117292	38.095844	-15.566570
29121		49.140423	38.064030	-15.557885
29122		49.164992	38.032361	-15.548337
29123		49.190404	37.997737	-15.548163
29124		49.226695	37.963070	-15.553580
29125		49.276695	37.932793	-15.556940
29126		49.332120	37.903611	-15.559707
29127		49.392070	37.875715	-15.563748
29128		49.458458	37.854838	-15.566016
29129		49.520014	37.838619	-15.571432
29130		49.574440	37.826895	-15.578316
29131		49.623088	37.820421	-15.589446
29132		49.666664	37.814896	-15.601714
29133		49.705583	37.810086	-15.612226
29134		49.738082	37.804412	-15.614533
29135		49.759702	37.792256	-15.618330
29136		49.775333	37.776766	-15.626392
29137		49.793305	37.756318	-15.638588
29138		49.810336	37.733724	-15.658751
29139		49.832845	37.711837	-15.679780
29140		49.858755	37.694739	-15.689444
29141		49.885545	37.684661	-15.689599
29142		49.914808	37.678279	-15.683343
29143		49.939410	37.672613	-15.675789
29144		49.962259	37.667141	-15.666900
29145		49.982978	37.662145	-15.660695
29146		50.006765	37.657637	-15.657468
29147		50.024560	37.657511	-15.659550
29148		50.034368	37.652045	-15.659363
29149		50.036197	37.644880	-15.658139
29150		50.040827	37.632547	-15.653441
29151		50.045675	37.625360	-15.647764
29152		50.048939	37.616794	-15.639403
29153		50.055172	37.609887	-15.635934
29154		50.064964	37.605248	-15.633646
29155		50.078660	37.597639	-15.636103
29156		50.087304	37.589365	-15.644256
29157		50.090759	37.584921	-15.651036
29158		50.090038	37.582563	-15.654807
29159		50.087164	37.583180	-15.654573
29160		50.076665	37.585877	-15.649752
29161		50.074023	37.589871	-15.641740
29162		50.072220	37.590507	-15.644670
29163		50.072719	37.591041	-15.650027
29164		50.068417	37.588593	-15.657685
29165		50.063469	37.586973	-15.666258
29166		50.063294	37.581508	-15.669427
29167		50.060214	37.573135	-15.670478
29168		50.060416	37.565422	-15.665341
29169		50.057454	37.556283	-15.663891
29170		50.055691	37.548816	-15.666958
29171		50.053796	37.543962	-15.667982
29172		50.044970	37.540447	-15.673873
29173		50.032847	37.533876	-15.682067
29174		50.012339	37.523501	-15.687774
29175		49.984837	37.509164	-15.695683
29176		49.953608	37.490501	-15.702689
29177		49.924176	37.468405	-15.707963
29178		49.893822	37.439395	-15.713080
29179		49.863171	37.409788	-15.708910
29180		49.829826	37.379420	-15.697738
29181		49.797595	37.348619	-15.691346
29182		49.773252	37.321838	-15.694799
29183		49.762798	37.297702	-15.705939
29184		49.764719	37.277097	-15.722688
29185		49.774617	37.262653	-15.739012
29186		49.791282	37.246412	-15.756980
29187		49.813392	37.228472	-15.771367
29188		49.833820	37.214892	-15.779899
29189		49.850811	37.201468	-15.786387
29190		49.865464	37.189008	-15.788844
29191		49.873915	37.176780	-15.795910
29192		49.881635	37.167518	-15.798412
29193		49.881562	37.157334	-15.802968
29194		49.883142	37.152278	-15.805563
29195		49.891634	37.147454	-15.809864
29196		49.908539	37.141974	-15.817298
29197		49.931858	37.136579	-15.824112
29198		49.958781	37.131191	-15.823399
29199		49.984574	37.123365	-15.815526
29200		50.006670	37.111226	-15.806162
29201		50.024457	37.097322	-15.802052
29202		50.036802	37.081916	-15.799538
29203		50.042220	37.066671	-15.794508
29204		50.047827	37.053808	-15.784405
29205		50.054243	37.038879	-15.771464
29206		50.059157	37.024257	-15.758561
29207		50.061467	37.009144	-15.748046
29208		50.067756	36.993322	-15.727658
29209		50.072153	36.976426	-15.703925
29210		50.080908	36.952322	-15.676990
29211		50.096561	36.921110	-15.649818
29212		50.118360	36.880560	-15.625133
29213		50.147404	36.836247	-15.597956
29214		50.171744	36.784938	-15.568277
29215		50.187303	36.730888	-15.536902
29216		50.196619	36.675200	-15.500499
29217		50.205018	36.622082	-15.450178
29218		50.211962	36.571898	-15.378950
29219		50.202584	36.529540	-15.291489
29220		50.174927	36.487504	-15.200367
29221		50.132469	36.449358	-15.112109
29222		50.081715	36.408119	-15.029965
29223		50.027304	36.367656	-14.958622
29224		49.987095	36.324626	-14.894162
29225		49.958539	36.291855	-14.831869
29226		49.936127	36.266954	-14.764573
29227		49.918300	36.247452	-14.689224
29228		49.893901	36.231053	-14.614711
29229		49.864068	36.213413	-14.545270
29230		49.824109	36.194765	-14.481101
29231		49.769323	36.177519	-14.420597
29232		49.700960	36.155175	-14.364208
29233		49.636282	36.134670	-14.304639
29234		49.572337	36.115804	-14.243828
29235		49.513781	36.098322	-14.186183
29236		49.463735	36.076125	-14.142579
29237		49.429921	36.056261	-14.105003
29238		49.404676	36.041622	-14.071769
29239		49.380222	36.037913	-14.038165
29240		49.352018	36.033118	-14.010580
29241		49.318133	36.032844	-13.973497
29242		49.278320	36.031001	-13.931774
29243		49.230891	36.033116	-13.884309
29244		49.173953	36.037658	-13.846354
29245		49.114152	36.040774	-13.817299
29246		49.064191	36.042831	-13.792401
29247		49.023483	36.039844	-13.773438
29248		48.992959	36.034358	-13.754619
