// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447FD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
44706		109.194497	-8.592388	-0.204085
44707		108.561884	-8.676869	-1.083986
44708		107.720325	-8.836064	-2.128617
44709		106.738568	-9.064407	-3.267195
44710		105.695208	-9.341717	-4.460104
44711		104.585461	-9.659809	-5.732634
44712		103.360984	-10.053063	-7.096337
44713		101.910090	-10.571777	-8.687416
44714		99.918860	-11.297806	-10.745306
44715		97.125895	-12.286524	-13.219257
44716		93.785272	-13.538370	-15.980668
44717		90.232237	-14.935721	-18.858592
44718		86.874797	-16.303078	-21.505213
44719		84.154729	-17.450293	-23.636870
44720		82.422428	-18.218868	-24.980955
44721		81.959138	-18.506779	-25.327308
44722		82.674104	-18.319710	-24.809954
44723		83.924797	-17.758060	-23.750232
44724		85.125213	-17.022306	-22.362612
44725		86.096458	-16.307530	-20.964741
44726		86.889625	-15.660304	-19.712692
44727		87.756028	-15.094529	-18.641333
44728		88.841204	-14.608194	-17.832448
44729		89.995698	-14.170066	-17.259075
44730		91.077276	-13.755214	-16.799282
44731		92.150045	-13.367595	-16.362789
44732		93.199677	-12.986749	-15.927057
44733		94.117643	-12.638352	-15.528857
44734		94.793289	-12.363151	-15.259034
44735		95.170986	-12.177963	-15.149994
44736		95.344863	-12.073826	-15.189759
44737		95.452275	-12.016916	-15.343345
44738		95.575960	-11.979922	-15.536530
44739		95.747286	-11.933935	-15.702665
44740		95.945734	-11.867790	-15.788778
44741		96.161344	-11.787345	-15.758624
44742		96.408322	-11.688854	-15.620921
44743		96.667824	-11.574518	-15.402794
44744		96.923252	-11.452181	-15.143944
44745		97.174684	-11.342622	-14.890345
44746		97.410176	-11.259008	-14.684770
44747		97.621240	-11.212159	-14.534701
44748		97.806069	-11.201843	-14.445090
44749		97.954021	-11.217341	-14.404819
44750		98.059702	-11.243402	-14.394723
44751		98.131515	-11.278927	-14.394167
44752		98.178644	-11.328710	-14.383045
44753		98.201735	-11.384948	-14.351573
44754		98.196347	-11.424580	-14.305806
44755		98.192496	-11.454628	-14.238313
44756		98.217139	-11.479006	-14.146726
44757		98.274414	-11.500892	-14.033947
44758		98.353281	-11.516855	-13.910540
44759		98.426355	-11.528809	-13.783752
44760		98.469847	-11.542663	-13.659013
44761		98.481285	-11.568998	-13.527627
44762		98.461324	-11.591225	-13.408434
44763		98.433888	-11.613428	-13.302408
44764		98.394288	-11.636698	-13.206680
44765		98.350237	-11.664401	-13.113102
44766		98.297372	-11.692097	-13.026318
44767		98.232514	-11.713282	-12.941783
