// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44877
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
31344		1.469854	15.426809	-0.241165
31345		1.474278	15.426971	-0.244522
31346		1.474084	15.424766	-0.248864
31347		1.485780	15.420358	-0.256850
31348		1.496470	15.411358	-0.264729
31349		1.509229	15.397875	-0.271307
31350		1.523306	15.390925	-0.276585
31351		1.534079	15.384096	-0.276969
31352		1.539669	15.378933	-0.276623
31353		1.543307	15.374116	-0.275094
31354		1.551610	15.371013	-0.275528
31355		1.549730	15.365930	-0.281058
31356		1.553529	15.359528	-0.291324
31357		1.559385	15.360490	-0.303749
31358		1.567444	15.363190	-0.317818
31359		1.567504	15.361648	-0.330742
31360		1.567760	15.358374	-0.338397
31361		1.569728	15.354181	-0.344458
31362		1.571033	15.344871	-0.349634
31363		1.572893	15.333827	-0.355901
31364		1.578067	15.328483	-0.366556
31365		1.581420	15.324567	-0.376223
31366		1.581657	15.317443	-0.388635
31367		1.580121	15.309759	-0.402017
31368		1.588979	15.300464	-0.417893
31369		1.601113	15.299263	-0.432744
31370		1.609374	15.297296	-0.447259
31371		1.617050	15.271302	-0.467490
31372		1.633473	15.236748	-0.494446
31373		1.663739	15.201127	-0.529283
31374		1.698782	15.166835	-0.570514
31375		1.736254	15.148377	-0.618915
31376		1.776205	15.139428	-0.667317
31377		1.815550	15.123981	-0.713676
31378		1.855532	15.097583	-0.759899
31379		1.904343	15.071599	-0.812277
31380		1.958469	15.042127	-0.865936
31381		2.005874	14.999646	-0.927452
31382		2.067943	14.960536	-0.994693
31383		2.124576	14.936814	-1.067175
31384		2.162499	14.918437	-1.143683
31385		2.188089	14.906610	-1.217229
31386		2.193346	14.900983	-1.283727
31387		2.180463	14.891289	-1.346596
31388		2.171292	14.878737	-1.404968
31389		2.160221	14.878222	-1.457576
31390		2.151305	14.879922	-1.507131
31391		2.147853	14.881945	-1.556352
31392		2.158434	14.876748	-1.600813
31393		2.169088	14.874194	-1.636414
31394		2.165713	14.867709	-1.669156
31395		2.154625	14.868669	-1.699149
31396		2.144903	14.869913	-1.728509
31397		2.149624	14.870361	-1.753385
31398		2.153822	14.868128	-1.773487
31399		2.162770	14.858892	-1.792790
31400		2.172889	14.848102	-1.815345
31401		2.189270	14.839674	-1.841839
31402		2.217081	14.832058	-1.867297
31403		2.245740	14.822979	-1.896909
31404		2.264408	14.813165	-1.924874
31405		2.272448	14.808600	-1.952901
31406		2.278003	14.814520	-1.980326
31407		2.277715	14.821580	-2.010253
31408		2.300191	14.818504	-2.050367
31409		2.353857	14.810503	-2.095359
31410		2.417036	14.808678	-2.133282
31411		2.468380	14.807086	-2.168372
31412		2.485840	14.809181	-2.191683
31413		2.495198	14.799641	-2.210284
31414		2.497615	14.789112	-2.224338
31415		2.515728	14.778992	-2.234977
31416		2.534296	14.779727	-2.244402
31417		2.538000	14.770873	-2.255703
31418		2.550643	14.760689	-2.273853
31419		2.582443	14.752344	-2.295779
31420		2.607950	14.742957	-2.309517
31421		2.605205	14.732341	-2.321520
31422		2.596502	14.716980	-2.338702
31423		2.606992	14.713258	-2.357210
31424		2.603431	14.716933	-2.380248
31425		2.600313	14.705656	-2.410494
31426		2.596298	14.702942	-2.450709
31427		2.583139	14.700842	-2.498590
